EnsemblId,TranscriptionFactorBindingSites
ENSG00000003137,Nkx6-1
ENSG00000003137,Nrf-2
ENSG00000003137,Nrf-2
ENSG00000003137,PPARG
ENSG00000003137,RAR
ENSG00000003137,RXR::LXR
ENSG00000003137,Rfx
ENSG00000003137,Rfx
ENSG00000003137,Sp1
ENSG00000003137,Sp4
ENSG00000003137,TCF11::MafG
ENSG00000003137,TLX1::NFIC
ENSG00000003137,Tel2
ENSG00000003137,Zfp161
ENSG00000003147,AP-1
ENSG00000003147,AP-4
ENSG00000003147,Bach1
ENSG00000003147,Bach2
ENSG00000003147,Barhl1
ENSG00000003147,CTCF
ENSG00000003147,E2A
ENSG00000003147,Hoxa13
ENSG00000003147,Hoxb3
ENSG00000003147,Hoxb8
ENSG00000003147,Hoxc9
ENSG00000003147,Klf7
ENSG00000003147,Lhx3
ENSG00000003147,Maf
ENSG00000003147,Mrg1::Hoxa9
ENSG00000003147,Msx-1
ENSG00000003147,Msx2
ENSG00000003147,Myf
ENSG00000003147,Nkx6-1
ENSG00000003147,Nobox
ENSG00000003147,Nobox
ENSG00000003147,OTX
ENSG00000003147,Olf-1
ENSG00000003147,RORalpha1
ENSG00000003147,Sp1
ENSG00000003147,Sp4
ENSG00000003147,Zfp161
ENSG00000003249,Ascl2
ENSG00000003249,Mef2
ENSG00000003249,NF-Y
ENSG00000003249,Nrf-2
ENSG00000003249,Nrf-2
ENSG00000003249,Sp1
ENSG00000003249,Sp4
ENSG00000003393,ATF3
ENSG00000003393,ATF
ENSG00000003393,ATF
ENSG00000003393,ATF
ENSG00000003393,Arid3a
ENSG00000003393,CREB
ENSG00000003393,CREB
ENSG00000003393,Jundm2
ENSG00000003393,KROX
ENSG00000003393,Klf7
ENSG00000003393,Lhx3
ENSG00000003393,MIF-1
ENSG00000003393,Nkx2
ENSG00000003393,RAR
ENSG00000003393,RORalpha1
ENSG00000003393,STAT
ENSG00000003393,STAT
ENSG00000003393,Sp1
ENSG00000003393,Tal1
ENSG00000003393,Tgif1
ENSG00000003400,ATF
ENSG00000003400,Jundm2
ENSG00000003402,AP-1
ENSG00000003402,AP-1
ENSG00000003402,AP-4
ENSG00000003402,GABP
ENSG00000003402,HEB
ENSG00000003402,Irf
ENSG00000003402,MIF-1
ENSG00000003402,NF-kappaB
ENSG00000003402,RP58
ENSG00000003402,RXR::LXR
ENSG00000003402,SF1
ENSG00000003436,AP-1
ENSG00000003436,CHX10
ENSG00000003436,CTCF
ENSG00000003436,Evi-1
ENSG00000003436,Gbx2
ENSG00000003436,Hlx1
ENSG00000003436,Hoxa9
ENSG00000003436,Lhx3
ENSG00000003436,NF-E2
ENSG00000003436,NF-I
ENSG00000003436,NF-Y
ENSG00000003436,NRSF
ENSG00000003509,GABP
ENSG00000003509,NR4A2
ENSG00000003987,CACD
ENSG00000003987,HEN1
ENSG00000003987,HNF6
ENSG00000003987,Hoxc9
ENSG00000003987,Lmo2-complex
ENSG00000003987,Osf2
ENSG00000003987,Pou3f4
ENSG00000003987,Pou6f1
ENSG00000003987,Sp1
ENSG00000003989,Ebox
ENSG00000003989,Egr
ENSG00000003989,Foxd1
ENSG00000003989,Gsc
ENSG00000003989,HEN1
ENSG00000003989,NF-I
ENSG00000003989,TLX1::NFIC
ENSG00000004059,Klf7
ENSG00000004059,NF-kappaB
ENSG00000004059,RORalpha1
ENSG00000004059,Sp1
ENSG00000004139,Ascl2
ENSG00000004139,Egr
ENSG00000004139,Foxa
ENSG00000004139,Klf7
ENSG00000004139,Mrg1::Hoxa9
ENSG00000004139,Mrg
ENSG00000004139,NF-kappaB
ENSG00000004139,NRSF
ENSG00000004139,NRSF
ENSG00000004139,NRSF
ENSG00000004139,RREB-1
ENSG00000004139,Sp1
ENSG00000004139,Tcf
ENSG00000004399,AREB6
ENSG00000004399,E2A
ENSG00000004399,LRH1
ENSG00000004399,NR4A2
ENSG00000004455,AP-1
ENSG00000004455,Dmbx1
ENSG00000004455,E2F
ENSG00000004455,E2F
ENSG00000004455,E2F
ENSG00000004455,Esr1
ENSG00000004455,Ets
ENSG00000004455,GATA
ENSG00000004455,HNF1
ENSG00000004455,Hoxc9
ENSG00000004455,KROX
ENSG00000004455,LRH1
ENSG00000004455,NF-E2
ENSG00000004455,PPARG
ENSG00000004455,RREB-1
ENSG00000004455,SF1
ENSG00000004455,STAT
ENSG00000004455,STAT
ENSG00000004455,Sp4
ENSG00000004478,Egr
ENSG00000004478,Esr1
ENSG00000004478,Esr1
ENSG00000004478,Esr2
ENSG00000004478,Hsf
ENSG00000004478,Klf7
ENSG00000004478,Sp1
ENSG00000004478,Sp4
ENSG00000004487,Arid3a
ENSG00000004487,Ets
ENSG00000004487,Foxd3
ENSG00000004487,Hoxb13
ENSG00000004487,Klf7
ENSG00000004487,NF-Y
ENSG00000004487,NF-Y
ENSG00000004487,Nkx6-1
ENSG00000004487,Pou6f1
ENSG00000004487,Sp1
ENSG00000004487,Zfp161
ENSG00000004660,AP-1
ENSG00000004660,AP-1
ENSG00000004660,AP-1
ENSG00000004660,Egr
ENSG00000004660,Hsf
ENSG00000004660,KROX
ENSG00000004660,Klf7
ENSG00000004660,NF-kappaB
ENSG00000004660,NF-kappaB
ENSG00000004660,Nrf-1
ENSG00000004660,Nrf-2
ENSG00000004660,Nrf-2
ENSG00000004660,Pou2f1
ENSG00000004660,Rfx
ENSG00000004660,Sp1
ENSG00000004660,Sp4
ENSG00000004700,CACD
ENSG00000004700,GCNF
ENSG00000004700,KROX
ENSG00000004700,Klf7
ENSG00000004700,Msx2
ENSG00000004700,NF-Y
ENSG00000004700,NF-Y
ENSG00000004700,NR4A2
ENSG00000004700,Nobox
ENSG00000004700,OTX
ENSG00000004700,RORalpha1
ENSG00000004700,RORalpha1
ENSG00000004700,RREB-1
ENSG00000004700,Rfx
ENSG00000004700,Sp4
ENSG00000004766,Arid3a
ENSG00000004766,Bach1
ENSG00000004766,Bach2
ENSG00000004766,Barhl1
ENSG00000004766,Barx1
ENSG00000004766,Dmbx1
ENSG00000004766,Ebox
ENSG00000004766,En-1
ENSG00000004766,Err-alpha
ENSG00000004766,Gsc
ENSG00000004766,Hoxa3
ENSG00000004766,Hoxa5
ENSG00000004766,Hoxa9
ENSG00000004766,Hoxb4
ENSG00000004766,Hoxd8
ENSG00000004766,Isl2
ENSG00000004766,Klf7
ENSG00000004766,Lhx3
ENSG00000004766,Mef2
ENSG00000004766,NF-E2
ENSG00000004766,Nkx2
ENSG00000004766,Nobox
ENSG00000004766,Pou2f1
ENSG00000004766,RREB-1
ENSG00000004766,Sp1
ENSG00000004766,Tcf
ENSG00000004766,znf143
ENSG00000004776,AP-4
ENSG00000004776,Ascl2
ENSG00000004776,INSM1
ENSG00000004776,Klf7
ENSG00000004776,Maf
ENSG00000004776,PPARG
ENSG00000004776,Sp1
ENSG00000004776,Tal1
ENSG00000004777,GATA
ENSG00000004777,Klf7
ENSG00000004777,NF-Y
ENSG00000004777,NF-Y
ENSG00000004777,Nkx2
ENSG00000004777,RREB-1
ENSG00000004777,Sp1
ENSG00000004777,Tgif1
ENSG00000004779,Nrf-1
ENSG00000004809,CHX10
ENSG00000004809,Crx
ENSG00000004809,Gsc
ENSG00000004809,Hoxb13
ENSG00000004809,Nobox
ENSG00000004846,CTCF
ENSG00000004846,Dlx3
ENSG00000004846,NR3C
ENSG00000004846,NR3C
ENSG00000004846,Prrx2
ENSG00000004846,Rfx
ENSG00000004846,Tcf
ENSG00000004848,E2F
ENSG00000004848,Err-alpha
ENSG00000004848,HNF4
ENSG00000004848,HNF4
ENSG00000004848,Klf7
ENSG00000004848,Myc
ENSG00000004848,NF-Y
ENSG00000004848,NF-kappaB
ENSG00000004848,NR4A2
ENSG00000004848,Pbx
ENSG00000004848,RAR
ENSG00000004848,RP58
ENSG00000004848,RREB-1
ENSG00000004866,Arid3a
ENSG00000004866,Bach1
ENSG00000004866,Bach2
ENSG00000004866,Barx1
ENSG00000004866,Bsx
ENSG00000004866,CACD
ENSG00000004866,CHX10
ENSG00000004866,Cdx2
ENSG00000004866,E2A
ENSG00000004866,E2A
ENSG00000004866,Err-alpha
ENSG00000004866,Foxk1
ENSG00000004866,Foxo
ENSG00000004866,GATA
ENSG00000004866,Gfi1
ENSG00000004866,Hmx
ENSG00000004866,Hoxa5
ENSG00000004866,Hoxa5
ENSG00000004866,Hoxa7
ENSG00000004866,Hoxb4
ENSG00000004866,Hoxb9
ENSG00000004866,Hoxc9
ENSG00000004866,Hsf
ENSG00000004866,Isl2
ENSG00000004866,Lhx3
ENSG00000004866,Lhx4
ENSG00000004866,MafB
ENSG00000004866,Mrg1::Hoxa9
ENSG00000004866,Mrg
ENSG00000004866,NF-kappaB
ENSG00000004866,NF-kappaB
ENSG00000004866,Nkx1-1
ENSG00000004866,Nkx2
ENSG00000004866,Nkx6-1
ENSG00000004866,OTX
ENSG00000004866,Obox6
ENSG00000004866,Octamer
ENSG00000004866,PPARG
ENSG00000004866,Pax-4
ENSG00000004866,Pax7
ENSG00000004866,Pbx-1
ENSG00000004866,Pbx-1
ENSG00000004866,Pdx1
ENSG00000004866,Phox2a
ENSG00000004866,Pou2f1
ENSG00000004866,Pou2f1
ENSG00000004866,Pou2f1
ENSG00000004866,Pou3f2
ENSG00000004866,Pou3f2
ENSG00000004866,Pou6f1
ENSG00000004866,Rfx
ENSG00000004866,Rfx
ENSG00000004866,Rfx
ENSG00000004866,STAT
ENSG00000004866,STAT
ENSG00000004866,Tal1
ENSG00000004866,Tal1beta
ENSG00000004866,Tcf
ENSG00000004866,Tgif1
ENSG00000004866,Tgif1
ENSG00000004897,GABP
ENSG00000004897,NF-I
ENSG00000004897,Nkx1-1
ENSG00000004897,Nobox
ENSG00000004897,OTX
ENSG00000004897,Vax2
ENSG00000004948,Brachyury
ENSG00000004948,CTCF
ENSG00000004948,Eomes
ENSG00000004948,HNF1
ENSG00000004948,HNF4
ENSG00000004948,Hoxb13
ENSG00000004948,KROX
ENSG00000004948,Lhx3
ENSG00000004948,MIF-1
ENSG00000004948,PPARG
ENSG00000004948,Pax-6
ENSG00000004948,Pou2f1
ENSG00000004948,Pou3f3
ENSG00000004948,Pou3f4
ENSG00000004948,Prrx1
ENSG00000004948,Sp1
ENSG00000004948,TBX5
ENSG00000004948,TBX5
ENSG00000004961,ATF6
ENSG00000004961,GABP
ENSG00000004961,PU.1
ENSG00000004961,Sp1
ENSG00000004961,znf143
ENSG00000004975,AP-4
ENSG00000004975,Arnt
ENSG00000004975,Ebox
ENSG00000004975,Egr
ENSG00000004975,Myc
ENSG00000004975,Myc
ENSG00000004975,Nrf-1
ENSG00000004975,Sp4
ENSG00000004975,Stra13
ENSG00000004975,Stra13
ENSG00000005001,AP-1
ENSG00000005001,Klf7
ENSG00000005001,Nrf-2
ENSG00000005001,Sp1
ENSG00000005007,E2F
ENSG00000005007,Elk1
ENSG00000005007,GLI
ENSG00000005007,Nrf-1
ENSG00000005007,Sp1
ENSG00000005007,Zfp161
ENSG00000005007,Zic
ENSG00000005007,Zic
ENSG00000005007,Zic
ENSG00000005020,AP-1
ENSG00000005020,AP-4
ENSG00000005020,Barhl1
ENSG00000005020,CDP
ENSG00000005020,CTCF
ENSG00000005020,Cdx2
ENSG00000005020,Dbx1
ENSG00000005020,E2A
ENSG00000005020,E2A
ENSG00000005020,Egr
ENSG00000005020,Err-alpha
ENSG00000005020,Esr1
ENSG00000005020,Ets
ENSG00000005020,FEV
ENSG00000005020,Foxa
ENSG00000005020,Foxj2
ENSG00000005020,HNF4
ENSG00000005020,HNF6
ENSG00000005020,Hmx
ENSG00000005020,Hoxa13
ENSG00000005020,Hoxa5
ENSG00000005020,Hoxb13
ENSG00000005020,Hoxb9
ENSG00000005020,Hoxc9
ENSG00000005020,Hoxd10
ENSG00000005020,Isl2
ENSG00000005020,KROX
ENSG00000005020,Klf7
ENSG00000005020,Myf
ENSG00000005020,Myf
ENSG00000005020,NF-Y
ENSG00000005020,NR4A2
ENSG00000005020,Nkx6-1
ENSG00000005020,Nkx6-1
ENSG00000005020,Nrf-1
ENSG00000005020,Octamer
ENSG00000005020,Pou5f1
ENSG00000005020,Prrx2
ENSG00000005020,RAR
ENSG00000005020,RORalpha1
ENSG00000005020,RREB-1
ENSG00000005020,RXR
ENSG00000005020,Rfx
ENSG00000005020,Sp1
ENSG00000005020,Srf
ENSG00000005020,Tel2
ENSG00000005022,CTCF
ENSG00000005022,Egr
ENSG00000005022,Egr
ENSG00000005022,Ehf
ENSG00000005022,Ets
ENSG00000005022,GABP
ENSG00000005022,HNF4
ENSG00000005022,KROX
ENSG00000005022,NR4A2
ENSG00000005022,PPARG
ENSG00000005022,PPAR
ENSG00000005022,Tel2
ENSG00000005059,Ehf
ENSG00000005059,Elk1
ENSG00000005059,Ets
ENSG00000005059,GABP
ENSG00000005059,Irf
ENSG00000005059,Myf
ENSG00000005059,NF-I
ENSG00000005059,Tel2
ENSG00000005073,AREB6
ENSG00000005073,ATF6
ENSG00000005073,Ebox
ENSG00000005073,Foxa
ENSG00000005073,Irf
ENSG00000005073,Lmo2-complex
ENSG00000005073,Mrg1::Hoxa9
ENSG00000005073,NF-kappaB
ENSG00000005073,NF-kappaB
ENSG00000005073,Pax-6
ENSG00000005073,Pou3f2
ENSG00000005073,RP58
ENSG00000005073,Tcf
ENSG00000005075,CTCF
ENSG00000005075,Nrf-1
ENSG00000005100,ATF3
ENSG00000005100,Myc
ENSG00000005100,STAT
ENSG00000005100,Sp4
ENSG00000005100,Tel2
ENSG00000005100,znf143
ENSG00000005102,E2A
ENSG00000005102,Gbx2
ENSG00000005102,Hoxa9
ENSG00000005102,Hoxb13
ENSG00000005102,Hoxb9
ENSG00000005102,Mef2
ENSG00000005102,Mef2
ENSG00000005102,NERF1a
ENSG00000005102,Pou2f1
ENSG00000005102,Prrx2
ENSG00000005102,RREB-1
ENSG00000005102,Srf
ENSG00000005108,AP-1
ENSG00000005108,AP-4
ENSG00000005108,Arid3a
ENSG00000005108,Elf1
ENSG00000005108,Foxa
ENSG00000005108,Foxa
ENSG00000005108,Foxc1
ENSG00000005108,Foxd1
ENSG00000005108,Foxj1
ENSG00000005108,Foxk1
ENSG00000005108,Foxo
ENSG00000005108,GATA
ENSG00000005108,GATA
ENSG00000005108,Hoxa9
ENSG00000005108,Hoxb13
ENSG00000005108,Hoxb8
ENSG00000005108,Irf
ENSG00000005108,Lhx3
ENSG00000005108,MafB
ENSG00000005108,Msx2
ENSG00000005108,Nrf-2
ENSG00000005108,OTX
ENSG00000005108,Octamer
ENSG00000005108,Pdx1
ENSG00000005108,Pou5f1
ENSG00000005156,ATF6
ENSG00000005156,CTCF
ENSG00000005156,E4F1
ENSG00000005156,KROX
ENSG00000005156,Myc
ENSG00000005156,Myc
ENSG00000005156,Myc
ENSG00000005156,Nrf-1
ENSG00000005156,RP58
ENSG00000005156,Sp1
ENSG00000005156,Sp4
ENSG00000005175,CTCF
ENSG00000005175,Err-alpha
ENSG00000005175,Klf7
ENSG00000005175,SF1
ENSG00000005175,Sp1
ENSG00000005175,Sp4
ENSG00000005187,Pbx-1
ENSG00000005189,Elk1
ENSG00000005189,Ets
ENSG00000005189,GABP
ENSG00000005189,GABP
ENSG00000005189,Sp4
ENSG00000005189,TLX1::NFIC
ENSG00000005189,Tel2
ENSG00000005194,KROX
ENSG00000005194,RXR
ENSG00000005206,NR4A2
ENSG00000005206,SF1
ENSG00000005238,AP-1
ENSG00000005238,AP-1
ENSG00000005238,AP-2
ENSG00000005238,AP-4
ENSG00000005238,Bach1
ENSG00000005238,Bach2
ENSG00000005238,CTCF
ENSG00000005238,Egr
ENSG00000005238,Egr
ENSG00000005238,Egr
ENSG00000005238,HEB
ENSG00000005238,HEN1
ENSG00000005238,KROX
ENSG00000005238,Klf7
ENSG00000005238,Myc
ENSG00000005238,Myc
ENSG00000005238,Myf
ENSG00000005238,NF-E2
ENSG00000005238,NF-Y
ENSG00000005238,Nkx2
ENSG00000005238,OTX
ENSG00000005238,Otx2
ENSG00000005238,RREB-1
ENSG00000005238,RXR
ENSG00000005238,Rfx
ENSG00000005238,Rfx
ENSG00000005238,Sp1
ENSG00000005238,Sp4
ENSG00000005238,Tal1
ENSG00000005243,AP-4
ENSG00000005243,RP58
ENSG00000005249,Arnt
ENSG00000005249,Dmbx1
ENSG00000005249,E2A
ENSG00000005249,E2F
ENSG00000005249,Ebox
ENSG00000005249,Egr
ENSG00000005249,Err-alpha
ENSG00000005249,Esr1
ENSG00000005249,GCNF
ENSG00000005249,HNF4
ENSG00000005249,HNF4
ENSG00000005249,HNF4
ENSG00000005249,HNF6
ENSG00000005249,Hoxa5
ENSG00000005249,Hoxd8
ENSG00000005249,KROX
ENSG00000005249,Myc
