Gene,Adult.CD14+.DC,Adult.cDC1,Adult.cDC2,Fetal.CD14+.DC,Fetal.cDC1,Fetal.cDC2
UBE2D2,-0.453733919,-0.6180449215,-0.6333740585,1.3940821728,1.524813745,0.453733919
UBE2D3,-0.5510867966,-1.3879107696,-0.7889731963,0.5510867966,0.8761232066,1.0427533
UBE2E2,-0.6335142054,-0.9411277413,-1.0034872997,0.6335142054,0.7898156635,1.2977709138
UBE2H,-0.9453169875,-0.5957639158,-1.4126848791,0.5957639158,0.9093926219,0.8021719628
UBE2M,1.3378014257,0.2019021544,0.9890859236,-0.2019021544,-1.4515259976,-0.3108798245
UBE2V1,0.5380038305,0.5925445316,0.6549373577,-0.7674525364,-0.5380038305,-1.8321499424
UBN2,0.1621314187,1.6935947976,1.6907037734,-0.2613823642,-0.5258347374,-0.1621314187
UBR4,1.1321015515,0.3812084883,1.2538990925,-0.3812084883,-1.1669731976,-0.7303541232
UBTFL2,0.7170455649,0.8593554499,0.695311092,-0.9421391612,-1.4119537613,-0.695311092
UBXN1,0.4751610691,0.6266192658,0.4913672836,-1.138003444,-1.7769259498,-0.4751610691
UCKL1,1.4552581225,0.4397750247,1.0711983737,-0.4397750247,-0.8051763548,-0.9009937294
UCKL1OS,-1.0141653553,-1.8739170509,-0.4407099166,0.6292009765,0.4621612948,0.4407099166
UCN,0.9794000515,0.5049227385,1.5796304039,-0.5686746681,-0.9456081509,-0.5049227385
UEVLD,0.9632024802,0.5252501738,0.8926013638,-1.062759761,-1.2780764396,-0.5252501738
UFC1,-1.3913230796,-1.0415237019,-0.0995339607,0.3935244245,0.0995339607,1.3708564546
UGP2,1.2412601435,0.3199141282,0.9937039031,-1.1026266081,-0.3199141282,-1.0262677062
UGT2B17,0.2109035699,1.0267083341,0.8845106954,-0.2109035699,-1.5479560696,-0.8469826815
UGT2B4,-0.6214986113,-0.3672146223,-1.1505895479,0.6460296747,0.3672146223,1.6261998334
UHRF1,-0.4185867827,-0.183084446,-0.0998628696,0.0998628696,1.7754227625,1.7426226698
ULK1,-1.9780320006,0.014569525,-1.2265876788,0.128820299,0.7075469962,-0.014569525
UNC13B,0.9488395915,0.5131200148,1.7894234369,-0.6786970867,-0.5131200148,-0.542329254
UNC13D,2.0304569571,0.0941023685,0.0621759683,-0.0621759683,-0.8608113561,-0.4731207935
UNC45A,1.0223409024,-0.182444962,1.4237764509,-0.8940882772,-1.0505375512,0.182444962
UNC5CL,1.8270470357,0.8459498098,0.0351138813,-0.8895032235,-0.6161872881,-0.0351138813
UNKL,-1.6161666819,-0.4357379093,-0.9729351462,0.9773631923,0.5443486782,0.4357379093
UPF1,0.5441475101,0.6481982532,1.2034494547,-1.3988832854,-0.5441475101,-0.7744188519
UQCRHL,-1.4785911134,-0.3254669362,-1.3357957724,0.3254669362,0.5225188819,0.9251290533
URG4,1.4619466672,-0.9805891259,1.14158739,0.1520346513,-0.8130380804,-0.1520346513
USF1,-1.1833037276,-1.0299832369,-0.397766159,1.4173326244,0.4799033781,0.397766159
USP10,-1.2983407731,-0.3308409838,-1.1631860145,0.3308409838,0.8508231256,1.0361101807
USP11,0.5151055523,0.7240628655,1.6814838519,-0.5151055523,-0.6276601234,-0.9199914862
USP16,-0.986479976,-0.5073666271,-0.5399895735,1.0084070575,0.5073666271,1.5421893187
USP21,1.6526428268,0.1957438644,1.859789447,-0.1957438644,-0.3430638942,-0.2318814362
USP34,0.1078860134,1.5803219889,0.9839403314,-1.1818953193,-0.1078860134,-0.4953889279
USP36,-0.4091866198,-0.7341825317,-0.3221369608,1.6923555654,0.3221369608,1.3502203078
USP43,-1.0809786319,-0.3743170074,-0.9733872182,1.0855482166,0.3743170074,1.1975305476
USP8,-1.3932305729,-1.0416346076,-0.3666571284,0.5387024653,1.2209864211,0.3666571284
UTRN,-0.312415799,-1.4682899854,-0.4132828996,1.4289890818,0.312415799,0.6661108555
UTX,-1.1454444988,-0.9630364578,-0.4427733917,0.6991339717,1.3710859936,0.4427733917
VAMP8,-0.5335633477,-0.7198056906,-1.1349564781,1.2631950735,0.5335633477,1.029921261
VAV2,1.3689951301,0.5275601365,0.7314779285,-1.3055277496,-0.5275601365,-0.5808524475
VBP1,-1.7357235699,0.0886171941,-0.6230641011,-0.0886171941,1.252289994,0.3372550208
VCAM1,-0.7275559437,-0.1051960449,-1.1040271839,1.186056559,1.383348848,0.1051960449
VGLL2,0.8188907182,1.2891910382,0.3123431809,-0.3123431809,-0.8095351542,-1.3480911982
VIL2,-0.7901902105,-0.3174893573,-0.3583094445,0.3174893573,1.4032570063,1.6344153285
VIM,-0.6343163271,-0.4867972379,-1.5178137633,0.7068000564,0.4867972379,1.1551654997
VIPR1,-0.0321564912,-0.9168500995,-0.4939286589,1.7769046062,0.0321564912,1.0424136608
VKORC1,1.6126774626,-0.0163741106,0.9500887335,0.0163741106,-1.2201265397,-0.3959063125
VLDLR,1.8201410594,0.1558655578,0.8279549479,-0.1558655578,-0.7981011758,-0.7257307479
VMO1,0.1320386453,1.1817456855,0.8530717597,-1.4386217055,-0.1320386453,-0.8861472019
VPS28,0.7610742014,0.6188195006,0.711872575,-0.6188195006,-1.4899854667,-1.0587539678
VPS33B,0.6693490103,0.3746906233,1.1900992166,-1.2211467271,-0.3746906233,-1.1892160326
VPS39,1.9018519264,-0.0469934492,1.4595057572,-0.2949853442,-0.5048830904,0.0469934492
VPS4A,0.647696986,1.3821239206,0.7710508862,-0.9128609053,-0.647696986,-0.9166956891
VPS8,0.4244922043,0.5705406113,1.7487789969,-0.4244922043,-1.0877254063,-0.4254726128
VRK1,-1.2651009974,0.1484313331,-0.6804144257,-0.1484313331,0.9439025517,1.4252919912
VRK2,0.1352926891,0.3651090816,0.2982960798,-1.642188559,-1.8337774517,-0.1352926891
VRK3,0.8161958956,0.5300066722,0.754602026,-0.5300066722,-1.724991291,-0.5581860686
VWA3B,0.9537879639,-0.0106991438,0.2694806124,0.0106991438,-1.1409620942,-1.7891965274
VWC2,-1.131124281,-0.8984806919,-0.4499462617,1.2327065596,0.9977707749,0.4499462617
WAS,-0.7100989507,-1.0385752142,-1.2721891739,0.7734439141,0.7100989507,0.8768689075
WASF1,1.7781030825,0.0623975961,1.7796986009,-0.0629025123,-0.4510511471,-0.0623975961
WASH1,0.7623536202,0.2724533649,1.4159369332,-1.0146782949,-0.2724533649,-1.1119133543
WASH2P,0.1879132802,1.4062561076,0.4057651772,-0.1879132802,-1.4106627953,-0.917379815
WASH5P,0.776259834,0.6136675514,1.4535043914,-0.6136675514,-0.9024199423,-0.8674442436
WBP11,-0.7153677128,-1.8335925063,-0.4327112577,0.5579674083,0.818284403,0.4327112577
WBP11P1,0.1984613652,0.3655247531,0.5799319392,-1.8913781433,-0.1984613652,-1.3132513546
WBP2,1.4592056739,-0.5892475227,1.0590713175,0.4419501691,-1.0655927988,-0.4419501691
WDR13,1.8778923378,0.1991950825,1.1310045275,-0.3976835954,-0.7365789239,-0.1991950825
WDR16,0.5811135342,0.5505166565,0.6849631007,-0.8410608392,-1.7855282465,-0.5505166565
WDR24,1.3505618493,0.5230216534,1.3779658445,-0.7159924847,-0.7079003852,-0.5230216534
WDR42A,1.1319263077,0.3789500926,1.0689034998,-1.4199049381,-0.5321351496,-0.3789500926
WDR44,0.260803675,1.7353941826,0.0181730665,-1.1233563698,-0.0181730665,-0.8114350731
WDR45,1.2163084953,0.3253691353,0.4364786774,-0.4331106842,-1.7242985734,-0.3253691353
WDR75,-1.1415983542,-0.5007519201,-0.8552439831,0.5007519201,1.4408199018,0.6233779709
WDR8,1.0483992078,0.4487922414,1.0393984105,-1.4059173679,-0.6641759471,-0.4487922414
WDR85,0.7323277852,0.3470505174,1.9343253177,-0.4045949059,-0.8160730675,-0.3470505174
WDR88,-0.3426656783,-0.8467443579,-0.2765691931,1.1307705221,1.7997915477,0.2765691931
WISP1,1.3492224305,0.5988157911,0.4755358065,-1.2408985127,-0.4755358065,-0.9143732154
WNT7B,1.2490837783,0.4638742834,0.2196092993,-1.265230307,-1.2819229354,-0.2196092993
WNT8A,-0.3144702298,-1.4351780938,-0.3214451709,0.6378921641,0.3144702298,1.5022523543
WSB1,-0.6775498009,-1.171408894,-1.062592328,1.0166369994,0.6775498009,0.762546414
WWP2,0.9291993858,0.330938268,1.0219987789,-0.330938268,-1.5935884534,-0.5849408566
XAB2,0.8578423492,0.3577810144,1.1536791039,-0.3577810144,-1.425615961,-0.8080600819
XAGE1B,0.3326560018,1.256093472,1.213278318,-0.8592997097,-1.0236164299,-0.3326560018
XAGE2B,0.9813937249,0.4166618693,0.9184846115,-1.5718251193,-0.6245438831,-0.4166618693
XIST,0.7965995313,0.8612366573,0.9993464296,-0.8345741684,-1.1384326865,-0.7965995313
XKR8,0.3116248556,0.3154255595,1.4173786504,-1.317724386,-1.0098985266,-0.3116248556
XKR9,1.0319624381,0.4865182111,0.4466474678,-1.4271981733,-1.2133948392,-0.4466474678
XKRY,0.2322532743,1.2402963094,1.3501202179,-0.8228923742,-0.2322532743,-0.9785464125
XKRY2,0.7352336614,1.5851867332,0.3347062262,-0.3347062262,-0.7460553542,-1.0972251894
XLKD1,0.0536704578,-0.0536704578,-0.1823801518,2.4046327601,0.7077852986,-0.1022791013
XPO6,1.3636996491,0.098523871,0.8808299158,-0.098523871,-0.8988487162,-1.2405487225
XYLT2,1.1243610791,0.7330823123,1.197251041,-0.7700877102,-0.7330823123,-0.8469297216
YBX1,-0.4766739977,-0.9656194302,-1.2810157555,0.7109361928,0.4766739977,1.2180036934
YDD19,-0.6047075966,-1.3397564544,-1.192888602,0.8516631971,0.6975560195,0.6047075966
YOD1,-0.9081452774,-2.0262711985,-0.3523361075,0.5049779002,0.3523361075,0.4606728369
YTHDC1,-0.5633122667,-1.3916679385,-0.5299036554,0.5299036554,1.3342021523,0.6358350993
YWHAG,-1.2176091813,-0.4740236316,-1.0057674584,0.4740236316,0.8145886363,1.18378461
YWHAH,-1.4312100954,-0.3404455016,-1.632605867,0.5098339361,0.3404455016,0.6376270337
YWHAZ,0.9789874833,0.5633990155,1.008344214,-1.2556393928,-0.9046228094,-0.5633990155
YY1,-1.0900517444,-0.4512263027,-0.9035415298,0.7582474124,0.4512263027,1.4209115064
ZAK,1.2762304879,0.6190421413,0.7162927194,-0.6190421413,-1.1768733611,-0.8407187221
ZBTB16,-0.4944548546,-1.2028299995,-0.8621354865,0.4944548546,1.3319993854,0.7394158229
ZBTB17,1.2491921337,0.437374132,1.4737857294,-0.437374132,-0.7761011084,-0.7280942531
ZBTB32,0.2998874035,1.8223648427,1.2748330327,-0.5254937689,-0.5366649315,-0.2998874035
ZBTB7B,1.9231410088,0.2498742984,0.343906421,-0.6667740602,-0.8423411424,-0.2498742984
ZC3H3,0.7497910186,0.982866743,0.5243539923,-0.5243539923,-1.3924364148,-1.0307713398
ZC3H6,1.1244283441,0.3201898989,0.2281806983,-1.3817122928,-0.2281806983,-1.3819806926
ZC3HAV1,-1.3213716688,-0.1396456599,-1.2651778405,0.2017934704,1.3267090016,0.1396456599
