Ehf	Irf_11	Irf_7	Maf_2	NF-kappaB_2	NF-kappaB_5	NF-Y_1	NF-Y_2	NF-Y_3	Nrf-2_2	Nrf-2_3	TCF11::MafG
ENSG00000010671	ENSG00000011590	ENSG00000076770	ENSG00000035862	ENSG00000048707	ENSG00000038427	ENSG00000010292	ENSG00000020633	ENSG00000005882	ENSG00000010932	ENSG00000018189	ENSG00000070087
ENSG00000011009	ENSG00000012660	ENSG00000077254	ENSG00000036672	ENSG00000049249	ENSG00000042062	ENSG00000010295	ENSG00000020922	ENSG00000005955	ENSG00000013619	ENSG00000021762	ENSG00000072364
ENSG00000013288	ENSG00000012983	ENSG00000087510	ENSG00000038295	ENSG00000052126	ENSG00000043514	ENSG00000015285	ENSG00000021645	ENSG00000006007	ENSG00000018189	ENSG00000022355	ENSG00000073009
ENSG00000014824	ENSG00000015479	ENSG00000089127	ENSG00000039523	ENSG00000056586	ENSG00000044524	ENSG00000015592	ENSG00000021826	ENSG00000006062	ENSG00000022355	ENSG00000023287	ENSG00000074211
ENSG00000014919	ENSG00000019582	ENSG00000095739	ENSG00000040633	ENSG00000060642	ENSG00000049249	ENSG00000029993	ENSG00000029363	ENSG00000006114	ENSG00000023287	ENSG00000023839	ENSG00000074317
ENSG00000020922	ENSG00000019991	ENSG00000095787	ENSG00000041357	ENSG00000060749	ENSG00000050730	ENSG00000031698	ENSG00000032219	ENSG00000006283	ENSG00000023839	ENSG00000023909	ENSG00000074800
ENSG00000021776	ENSG00000020633	ENSG00000100351	ENSG00000044446	ENSG00000061273	ENSG00000054116	ENSG00000032219	ENSG00000038532	ENSG00000006432	ENSG00000023909	ENSG00000028839	ENSG00000077380
ENSG00000022277	ENSG00000030110	ENSG00000101104	ENSG00000049283	ENSG00000062194	ENSG00000054523	ENSG00000033170	ENSG00000039068	ENSG00000006607	ENSG00000031081	ENSG00000029725	ENSG00000078018
ENSG00000023318	ENSG00000030304	ENSG00000101901	ENSG00000049618	ENSG00000063180	ENSG00000058668	ENSG00000034063	ENSG00000040731	ENSG00000006625	ENSG00000033627	ENSG00000031081	ENSG00000078618
ENSG00000023892	ENSG00000030419	ENSG00000102908	ENSG00000050438	ENSG00000064932	ENSG00000060339	ENSG00000043822	ENSG00000043822	ENSG00000006712	ENSG00000035862	ENSG00000032219	ENSG00000079393
ENSG00000028310	ENSG00000031081	ENSG00000103978	ENSG00000057657	ENSG00000065970	ENSG00000062194	ENSG00000048740	ENSG00000044574	ENSG00000006744	ENSG00000037637	ENSG00000033327	ENSG00000080493
ENSG00000028528	ENSG00000033170	ENSG00000104067	ENSG00000058091	ENSG00000065989	ENSG00000065325	ENSG00000049192	ENSG00000048540	ENSG00000007255	ENSG00000038295	ENSG00000033627	ENSG00000084676
ENSG00000028839	ENSG00000034677	ENSG00000105997	ENSG00000058335	ENSG00000066032	ENSG00000065526	ENSG00000049618	ENSG00000048740	ENSG00000007372	ENSG00000039523	ENSG00000034152	ENSG00000085832
ENSG00000029364	ENSG00000038219	ENSG00000106605	ENSG00000060982	ENSG00000068308	ENSG00000067141	ENSG00000049769	ENSG00000049769	ENSG00000007376	ENSG00000041357	ENSG00000035862	ENSG00000087842
ENSG00000030304	ENSG00000043822	ENSG00000106785	ENSG00000064692	ENSG00000068400	ENSG00000068308	ENSG00000050426	ENSG00000050438	ENSG00000007545	ENSG00000044446	ENSG00000036257	ENSG00000092871
ENSG00000031691	ENSG00000047621	ENSG00000106829	ENSG00000065833	ENSG00000068903	ENSG00000068323	ENSG00000050438	ENSG00000051009	ENSG00000008083	ENSG00000048828	ENSG00000038295	ENSG00000093167
ENSG00000033170	ENSG00000048052	ENSG00000106852	ENSG00000067177	ENSG00000069399	ENSG00000068781	ENSG00000055609	ENSG00000051108	ENSG00000008086	ENSG00000053747	ENSG00000041357	ENSG00000099250
ENSG00000041357	ENSG00000048462	ENSG00000107105	ENSG00000068137	ENSG00000070366	ENSG00000068903	ENSG00000058091	ENSG00000061918	ENSG00000008294	ENSG00000054179	ENSG00000042286	ENSG00000099260
ENSG00000042813	ENSG00000048540	ENSG00000107201	ENSG00000068323	ENSG00000070444	ENSG00000069399	ENSG00000058668	ENSG00000063854	ENSG00000008300	ENSG00000057657	ENSG00000044446	ENSG00000100221
ENSG00000047230	ENSG00000048649	ENSG00000107485	ENSG00000069020	ENSG00000070808	ENSG00000070159	ENSG00000060339	ENSG00000064195	ENSG00000008382	ENSG00000057757	ENSG00000049249	ENSG00000100605
ENSG00000048052	ENSG00000049192	ENSG00000107798	ENSG00000069424	ENSG00000071575	ENSG00000071575	ENSG00000061918	ENSG00000064687	ENSG00000009307	ENSG00000059145	ENSG00000049759	ENSG00000100664
ENSG00000048991	ENSG00000049323	ENSG00000108813	ENSG00000070087	ENSG00000072133	ENSG00000072133	ENSG00000063601	ENSG00000066135	ENSG00000009830	ENSG00000059728	ENSG00000053747	ENSG00000100902
ENSG00000053770	ENSG00000052841	ENSG00000110324	ENSG00000071189	ENSG00000072422	ENSG00000073712	ENSG00000063854	ENSG00000066136	ENSG00000009950	ENSG00000059915	ENSG00000054356	ENSG00000101040
ENSG00000055483	ENSG00000054219	ENSG00000110841	ENSG00000072195	ENSG00000073756	ENSG00000077150	ENSG00000064195	ENSG00000067369	ENSG00000010165	ENSG00000060718	ENSG00000057657	ENSG00000101084
ENSG00000057019	ENSG00000054267	ENSG00000111331	ENSG00000072415	ENSG00000075292	ENSG00000077463	ENSG00000064545	ENSG00000068489	ENSG00000010292	ENSG00000064012	ENSG00000059145	ENSG00000101298
ENSG00000058085	ENSG00000054282	ENSG00000111785	ENSG00000073009	ENSG00000077092	ENSG00000078725	ENSG00000064687	ENSG00000069275	ENSG00000010295	ENSG00000064042	ENSG00000059691	ENSG00000101557
ENSG00000059758	ENSG00000054965	ENSG00000112773	ENSG00000074800	ENSG00000077150	ENSG00000079308	ENSG00000065183	ENSG00000069424	ENSG00000010404	ENSG00000065833	ENSG00000059915	ENSG00000102054
ENSG00000060749	ENSG00000055208	ENSG00000113387	ENSG00000075826	ENSG00000077942	ENSG00000079335	ENSG00000066136	ENSG00000070718	ENSG00000011105	ENSG00000065882	ENSG00000064042	ENSG00000102359
ENSG00000063244	ENSG00000055332	ENSG00000113389	ENSG00000075884	ENSG00000079335	ENSG00000079931	ENSG00000066382	ENSG00000070882	ENSG00000011258	ENSG00000067177	ENSG00000064547	ENSG00000102678
ENSG00000064012	ENSG00000055609	ENSG00000114127	ENSG00000076108	ENSG00000079337	ENSG00000081041	ENSG00000066855	ENSG00000072849	ENSG00000011260	ENSG00000067842	ENSG00000065357	ENSG00000103194
ENSG00000064932	ENSG00000056586	ENSG00000114450	ENSG00000077147	ENSG00000079387	ENSG00000081479	ENSG00000067082	ENSG00000072864	ENSG00000011304	ENSG00000068137	ENSG00000065833	ENSG00000104435
ENSG00000064995	ENSG00000059588	ENSG00000116299	ENSG00000077264	ENSG00000080224	ENSG00000083799	ENSG00000067715	ENSG00000073792	ENSG00000011478	ENSG00000068323	ENSG00000066117	ENSG00000104722
ENSG00000064999	ENSG00000060140	ENSG00000117009	ENSG00000077274	ENSG00000080709	ENSG00000084636	ENSG00000067829	ENSG00000074657	ENSG00000012660	ENSG00000068724	ENSG00000067365	ENSG00000105613
ENSG00000065135	ENSG00000060642	ENSG00000118260	ENSG00000078018	ENSG00000080839	ENSG00000084733	ENSG00000067992	ENSG00000075290	ENSG00000013375	ENSG00000069399	ENSG00000068323	ENSG00000105967
ENSG00000065883	ENSG00000061273	ENSG00000119328	ENSG00000078140	ENSG00000081041	ENSG00000085552	ENSG00000068489	ENSG00000075292	ENSG00000013392	ENSG00000070087	ENSG00000068654	ENSG00000106588
ENSG00000066739	ENSG00000062038	ENSG00000119397	ENSG00000078618	ENSG00000082482	ENSG00000087095	ENSG00000068724	ENSG00000075539	ENSG00000013810	ENSG00000071189	ENSG00000068724	ENSG00000108379
ENSG00000067596	ENSG00000065243	ENSG00000121060	ENSG00000079215	ENSG00000083799	ENSG00000087494	ENSG00000068903	ENSG00000075711	ENSG00000015285	ENSG00000071246	ENSG00000068781	ENSG00000110713
ENSG00000068097	ENSG00000065357	ENSG00000121775	ENSG00000079393	ENSG00000084636	ENSG00000088881	ENSG00000069424	ENSG00000075884	ENSG00000015592	ENSG00000071575	ENSG00000069018	ENSG00000111640
ENSG00000068120	ENSG00000065989	ENSG00000125122	ENSG00000080503	ENSG00000085185	ENSG00000089050	ENSG00000069509	ENSG00000076248	ENSG00000016082	ENSG00000072364	ENSG00000069424	ENSG00000112182
ENSG00000068308	ENSG00000067208	ENSG00000125675	ENSG00000080822	ENSG00000086544	ENSG00000089159	ENSG00000070018	ENSG00000077150	ENSG00000019186	ENSG00000072415	ENSG00000070087	ENSG00000113558
ENSG00000068354	ENSG00000067992	ENSG00000128908	ENSG00000081059	ENSG00000087116	ENSG00000089775	ENSG00000070718	ENSG00000078246	ENSG00000019582	ENSG00000073009	ENSG00000072364	ENSG00000115290
ENSG00000068903	ENSG00000068024	ENSG00000130962	ENSG00000081842	ENSG00000087884	ENSG00000089847	ENSG00000070950	ENSG00000078579	ENSG00000020256	ENSG00000074211	ENSG00000073009	ENSG00000115657
ENSG00000069667	ENSG00000068079	ENSG00000131037	ENSG00000082458	ENSG00000088881	ENSG00000090621	ENSG00000071051	ENSG00000082458	ENSG00000020633	ENSG00000074695	ENSG00000074211	ENSG00000116675
ENSG00000070047	ENSG00000068400	ENSG00000132294	ENSG00000082701	ENSG00000090621	ENSG00000092201	ENSG00000071189	ENSG00000082641	ENSG00000020922	ENSG00000074800	ENSG00000074317	ENSG00000117114
ENSG00000070367	ENSG00000068489	ENSG00000132530	ENSG00000082898	ENSG00000090924	ENSG00000092203	ENSG00000072133	ENSG00000082898	ENSG00000021300	ENSG00000075624	ENSG00000074800	ENSG00000117408
ENSG00000070814	ENSG00000069869	ENSG00000133105	ENSG00000084207	ENSG00000092028	ENSG00000092445	ENSG00000072657	ENSG00000088038	ENSG00000021826	ENSG00000075884	ENSG00000075624	ENSG00000117713
ENSG00000071127	ENSG00000070190	ENSG00000133106	ENSG00000084636	ENSG00000092051	ENSG00000092607	ENSG00000072849	ENSG00000088854	ENSG00000023318	ENSG00000075914	ENSG00000076108	ENSG00000118496
ENSG00000071539	ENSG00000070882	ENSG00000133226	ENSG00000084764	ENSG00000092098	ENSG00000093134	ENSG00000073792	ENSG00000089053	ENSG00000024526	ENSG00000076108	ENSG00000077984	ENSG00000118997
ENSG00000072858	ENSG00000072110	ENSG00000134046	ENSG00000085831	ENSG00000092201	ENSG00000096088	ENSG00000075290	ENSG00000092098	ENSG00000024862	ENSG00000076201	ENSG00000078246	ENSG00000119844
ENSG00000072958	ENSG00000072694	ENSG00000134321	ENSG00000086289	ENSG00000093134	ENSG00000099860	ENSG00000075292	ENSG00000092199	ENSG00000025423	ENSG00000077274	ENSG00000078618	ENSG00000120217
ENSG00000073009	ENSG00000072736	ENSG00000134595	ENSG00000086544	ENSG00000095397	ENSG00000099991	ENSG00000075388	ENSG00000094804	ENSG00000026025	ENSG00000078018	ENSG00000079102	ENSG00000120616
ENSG00000073598	ENSG00000073861	ENSG00000136147	ENSG00000087086	ENSG00000095637	ENSG00000099992	ENSG00000075539	ENSG00000094916	ENSG00000026036	ENSG00000078140	ENSG00000079335	ENSG00000121690
ENSG00000073614	ENSG00000075290	ENSG00000136436	ENSG00000087191	ENSG00000096696	ENSG00000100077	ENSG00000075826	ENSG00000094975	ENSG00000028203	ENSG00000078618	ENSG00000079385	ENSG00000122507
ENSG00000074603	ENSG00000075539	ENSG00000136874	ENSG00000087250	ENSG00000099860	ENSG00000100092	ENSG00000076003	ENSG00000095906	ENSG00000028277	ENSG00000079112	ENSG00000079393	ENSG00000122735
ENSG00000075188	ENSG00000075884	ENSG00000137094	ENSG00000087266	ENSG00000099904	ENSG00000100146	ENSG00000076242	ENSG00000099203	ENSG00000028839	ENSG00000079335	ENSG00000079999	ENSG00000122862
ENSG00000075413	ENSG00000076067	ENSG00000137628	ENSG00000088367	ENSG00000099991	ENSG00000100242	ENSG00000076924	ENSG00000099942	ENSG00000029363	ENSG00000079393	ENSG00000080189	ENSG00000122966
ENSG00000076321	ENSG00000077327	ENSG00000138642	ENSG00000091009	ENSG00000100060	ENSG00000100281	ENSG00000077312	ENSG00000099991	ENSG00000029993	ENSG00000079999	ENSG00000081842	ENSG00000123352
ENSG00000077044	ENSG00000078018	ENSG00000138668	ENSG00000091428	ENSG00000100092	ENSG00000100345	ENSG00000077454	ENSG00000100078	ENSG00000030582	ENSG00000080189	ENSG00000082701	ENSG00000127022
ENSG00000077380	ENSG00000078053	ENSG00000138760	ENSG00000091482	ENSG00000100097	ENSG00000100354	ENSG00000077458	ENSG00000100154	ENSG00000031698	ENSG00000080503	ENSG00000082898	ENSG00000127481
ENSG00000078142	ENSG00000078618	ENSG00000139163	ENSG00000092068	ENSG00000100167	ENSG00000100604	ENSG00000077809	ENSG00000100209	ENSG00000032219	ENSG00000080822	ENSG00000083312	ENSG00000128591
ENSG00000078295	ENSG00000078674	ENSG00000140464	ENSG00000092621	ENSG00000100281	ENSG00000100605	ENSG00000078043	ENSG00000100284	ENSG00000032389	ENSG00000081842	ENSG00000084070	ENSG00000128881
ENSG00000078872	ENSG00000079102	ENSG00000141448	ENSG00000095713	ENSG00000100401	ENSG00000100697	ENSG00000078140	ENSG00000100354	ENSG00000033170	ENSG00000082701	ENSG00000084207	ENSG00000130706
ENSG00000079335	ENSG00000079150	ENSG00000141579	ENSG00000096060	ENSG00000100403	ENSG00000100906	ENSG00000078304	ENSG00000100461	ENSG00000034063	ENSG00000083312	ENSG00000084754	ENSG00000133069
ENSG00000080815	ENSG00000079156	ENSG00000142089	ENSG00000096063	ENSG00000100604	ENSG00000101017	ENSG00000078618	ENSG00000100567	ENSG00000035499	ENSG00000084112	ENSG00000086200	ENSG00000133318
ENSG00000081377	ENSG00000079277	ENSG00000143390	ENSG00000096384	ENSG00000100813	ENSG00000101096	ENSG00000079102	ENSG00000100596	ENSG00000036257	ENSG00000084207	ENSG00000086289	ENSG00000134376
ENSG00000081913	ENSG00000079931	ENSG00000145242	ENSG00000099204	ENSG00000100911	ENSG00000101109	ENSG00000079156	ENSG00000100614	ENSG00000038274	ENSG00000085831	ENSG00000086544	ENSG00000134532
ENSG00000083223	ENSG00000080298	ENSG00000145864	ENSG00000100053	ENSG00000101017	ENSG00000101246	ENSG00000080573	ENSG00000100625	ENSG00000038532	ENSG00000086015	ENSG00000087086	ENSG00000134760
ENSG00000083844	ENSG00000080503	ENSG00000146083	ENSG00000100092	ENSG00000101096	ENSG00000101310	ENSG00000081853	ENSG00000100644	ENSG00000039068	ENSG00000086289	ENSG00000087191	ENSG00000135373
ENSG00000083845	ENSG00000082293	ENSG00000149218	ENSG00000100106	ENSG00000101109	ENSG00000101680	ENSG00000082212	ENSG00000100722	ENSG00000039600	ENSG00000086544	ENSG00000087266	ENSG00000135678
ENSG00000083896	ENSG00000082684	ENSG00000150347	ENSG00000100162	ENSG00000101246	ENSG00000101974	ENSG00000082458	ENSG00000100814	ENSG00000043822	ENSG00000087086	ENSG00000087842	ENSG00000135905
ENSG00000084070	ENSG00000083312	ENSG00000152217	ENSG00000100345	ENSG00000101665	ENSG00000102908	ENSG00000082497	ENSG00000100897	ENSG00000044574	ENSG00000087191	ENSG00000088367	ENSG00000136167
ENSG00000084623	ENSG00000083799	ENSG00000152689	ENSG00000100439	ENSG00000101746	ENSG00000103056	ENSG00000082701	ENSG00000100911	ENSG00000047617	ENSG00000087266	ENSG00000088726	ENSG00000136244
ENSG00000085733	ENSG00000084676	ENSG00000152778	ENSG00000100441	ENSG00000101958	ENSG00000103275	ENSG00000083544	ENSG00000100918	ENSG00000047634	ENSG00000088367	ENSG00000089057	ENSG00000136536
ENSG00000087111	ENSG00000087301	ENSG00000154027	ENSG00000100567	ENSG00000101974	ENSG00000103496	ENSG00000083937	ENSG00000100941	ENSG00000048052	ENSG00000089472	ENSG00000090013	ENSG00000136930
ENSG00000087191	ENSG00000087884	ENSG00000157601	ENSG00000100911	ENSG00000102172	ENSG00000104447	ENSG00000085449	ENSG00000100968	ENSG00000048740	ENSG00000089693	ENSG00000090447	ENSG00000136935
ENSG00000087365	ENSG00000089094	ENSG00000159461	ENSG00000100985	ENSG00000102908	ENSG00000104825	ENSG00000085721	ENSG00000101367	ENSG00000048828	ENSG00000090447	ENSG00000091009	ENSG00000137267
ENSG00000087502	ENSG00000089225	ENSG00000160439	ENSG00000101084	ENSG00000103005	ENSG00000104951	ENSG00000086015	ENSG00000101544	ENSG00000049167	ENSG00000091009	ENSG00000091164	ENSG00000138100
ENSG00000089234	ENSG00000089248	ENSG00000162434	ENSG00000101126	ENSG00000103811	ENSG00000104998	ENSG00000087495	ENSG00000101868	ENSG00000049449	ENSG00000091136	ENSG00000091482	ENSG00000138449
ENSG00000089327	ENSG00000090554	ENSG00000162864	ENSG00000101265	ENSG00000104312	ENSG00000105401	ENSG00000087586	ENSG00000101871	ENSG00000049541	ENSG00000091482	ENSG00000091490	ENSG00000139278
ENSG00000090487	ENSG00000090776	ENSG00000163463	ENSG00000101298	ENSG00000104327	ENSG00000105464	ENSG00000088038	ENSG00000101938	ENSG00000049618	ENSG00000092621	ENSG00000092068	ENSG00000140660
ENSG00000092098	ENSG00000091409	ENSG00000167183	ENSG00000101558	ENSG00000104825	ENSG00000105639	ENSG00000088854	ENSG00000103460	ENSG00000049769	ENSG00000092871	ENSG00000092871	ENSG00000142082
ENSG00000092201	ENSG00000091428	ENSG00000167483	ENSG00000101986	ENSG00000105221	ENSG00000105677	ENSG00000089053	ENSG00000103540	ENSG00000050438	ENSG00000093167	ENSG00000093009	ENSG00000142657
ENSG00000092330	ENSG00000091656	ENSG00000168672	ENSG00000102054	ENSG00000105327	ENSG00000105695	ENSG00000089157	ENSG00000104332	ENSG00000050820	ENSG00000094796	ENSG00000093167	ENSG00000143106
ENSG00000092931	ENSG00000091831	ENSG00000168701	ENSG00000102057	ENSG00000105329	ENSG00000105699	ENSG00000089195	ENSG00000104442	ENSG00000051009	ENSG00000095739	ENSG00000095794	ENSG00000143153
ENSG00000093167	ENSG00000092199	ENSG00000169375	ENSG00000102078	ENSG00000105401	ENSG00000105810	ENSG00000089220	ENSG00000104549	ENSG00000051108	ENSG00000096060	ENSG00000096060	ENSG00000143858
ENSG00000099250	ENSG00000092607	ENSG00000169403	ENSG00000102189	ENSG00000105426	ENSG00000106829	ENSG00000089737	ENSG00000104756	ENSG00000053254	ENSG00000096063	ENSG00000096063	ENSG00000144597
ENSG00000099795	ENSG00000092841	ENSG00000169564	ENSG00000102359	ENSG00000105464	ENSG00000107518	ENSG00000090905	ENSG00000104812	ENSG00000054523	ENSG00000096070	ENSG00000096384	ENSG00000145934
ENSG00000099917	ENSG00000095564	ENSG00000169862	ENSG00000102678	ENSG00000105642	ENSG00000107551	ENSG00000091640	ENSG00000105223	ENSG00000054598	ENSG00000096384	ENSG00000100092	ENSG00000146083
ENSG00000099937	ENSG00000096433	ENSG00000170027	ENSG00000103035	ENSG00000105855	ENSG00000107829	ENSG00000092200	ENSG00000105323	ENSG00000058091	ENSG00000099204	ENSG00000100099	ENSG00000149397
ENSG00000099992	ENSG00000097033	ENSG00000170581	ENSG00000104313	ENSG00000106125	ENSG00000107882	ENSG00000092847	ENSG00000105364	ENSG00000058272	ENSG00000099985	ENSG00000100104	ENSG00000151923
ENSG00000099995	ENSG00000099250	ENSG00000171310	ENSG00000104356	ENSG00000106328	ENSG00000107954	ENSG00000094804	ENSG00000105371	ENSG00000058453	ENSG00000100092	ENSG00000100150	ENSG00000151929
ENSG00000100038	ENSG00000099917	ENSG00000171621	ENSG00000104435	ENSG00000106829	ENSG00000108292	ENSG00000094916	ENSG00000105376	ENSG00000058668	ENSG00000100266	ENSG00000100221	ENSG00000152049
ENSG00000100075	ENSG00000099985	ENSG00000171766	ENSG00000104722	ENSG00000107159	ENSG00000108515	ENSG00000095370	ENSG00000105402	ENSG00000059728	ENSG00000100325	ENSG00000100325	ENSG00000152219
ENSG00000100138	ENSG00000100225	ENSG00000172530	ENSG00000105131	ENSG00000107551	ENSG00000108518	ENSG00000095587	ENSG00000105443	ENSG00000060339	ENSG00000100330	ENSG00000100330	ENSG00000153060
ENSG00000100142	ENSG00000100351	ENSG00000174485	ENSG00000105227	ENSG00000107968	ENSG00000108557	ENSG00000096070	ENSG00000105516	ENSG00000060566	ENSG00000100345	ENSG00000100372	ENSG00000154174
ENSG00000100296	ENSG00000100441	ENSG00000174808	ENSG00000105656	ENSG00000108001	ENSG00000108797	ENSG00000099797	ENSG00000105556	ENSG00000060688	ENSG00000100357	ENSG00000100433	ENSG00000154188
ENSG00000100348	ENSG00000100567	ENSG00000175029	ENSG00000105967	ENSG00000108061	ENSG00000108821	ENSG00000099942	ENSG00000105568	ENSG00000060762	ENSG00000100433	ENSG00000100439	ENSG00000155962
ENSG00000100372	ENSG00000100596	ENSG00000175505	ENSG00000105976	ENSG00000108175	ENSG00000108984	ENSG00000099991	ENSG00000105610	ENSG00000061918	ENSG00000100439	ENSG00000100567	ENSG00000156113
ENSG00000100554	ENSG00000100722	ENSG00000176641	ENSG00000106070	ENSG00000108256	ENSG00000109072	ENSG00000099992	ENSG00000105649	ENSG00000062038	ENSG00000100448	ENSG00000100664	ENSG00000156515
ENSG00000100591	ENSG00000100802	ENSG00000177485	ENSG00000106404	ENSG00000108292	ENSG00000109132	ENSG00000100027	ENSG00000105722	ENSG00000063241	ENSG00000100478	ENSG00000100982	ENSG00000157193
ENSG00000100601	ENSG00000100852	ENSG00000177889	ENSG00000106780	ENSG00000108312	ENSG00000109320	ENSG00000100097	ENSG00000106066	ENSG00000063322	ENSG00000100567	ENSG00000101040	ENSG00000157540
ENSG00000100632	ENSG00000101109	ENSG00000179902	ENSG00000107736	ENSG00000108342	ENSG00000110047	ENSG00000100116	ENSG00000106069	ENSG00000063587	ENSG00000100664	ENSG00000101084	ENSG00000157551
ENSG00000100744	ENSG00000101236	ENSG00000180233	ENSG00000107745	ENSG00000108557	ENSG00000110367	ENSG00000100320	ENSG00000106305	ENSG00000063854	ENSG00000100911	ENSG00000101126	ENSG00000157557
ENSG00000100764	ENSG00000101577	ENSG00000180818	ENSG00000108375	ENSG00000108799	ENSG00000110848	ENSG00000100325	ENSG00000106829	ENSG00000063978	ENSG00000100938	ENSG00000101265	ENSG00000159339
ENSG00000100883	ENSG00000101892	ENSG00000180843	ENSG00000108395	ENSG00000108813	ENSG00000110944	ENSG00000100354	ENSG00000107625	ENSG00000064195	ENSG00000101004	ENSG00000101298	ENSG00000160014
ENSG00000100902	ENSG00000101972	ENSG00000181264	ENSG00000108582	ENSG00000108821	ENSG00000111181	ENSG00000100360	ENSG00000108176	ENSG00000064218	ENSG00000101084	ENSG00000101557	ENSG00000160685
ENSG00000100911	ENSG00000101974	ENSG00000181291	ENSG00000108592	ENSG00000108960	ENSG00000111424	ENSG00000100418	ENSG00000108306	ENSG00000064545	ENSG00000101109	ENSG00000101746	ENSG00000161326
ENSG00000100938	ENSG00000102081	ENSG00000181295	ENSG00000108819	ENSG00000108963	ENSG00000111642	ENSG00000100461	ENSG00000108379	ENSG00000064601	ENSG00000101126	ENSG00000101849	ENSG00000162105
ENSG00000101198	ENSG00000102239	ENSG00000181381	ENSG00000108932	ENSG00000109103	ENSG00000112062	ENSG00000100462	ENSG00000108387	ENSG00000064666	ENSG00000101265	ENSG00000101856	ENSG00000162407
ENSG00000101199	ENSG00000102524	ENSG00000181804	ENSG00000109101	ENSG00000109381	ENSG00000112149	ENSG00000100526	ENSG00000108439	ENSG00000064687	ENSG00000101298	ENSG00000101986	ENSG00000162413
ENSG00000101294	ENSG00000102531	ENSG00000183337	ENSG00000109854	ENSG00000109991	ENSG00000112308	ENSG00000100596	ENSG00000108465	ENSG00000064692	ENSG00000101557	ENSG00000102054	ENSG00000163114
