Gene stable ID	HGNC symbol
ENSG00000163902	RPN1
ENSG00000143434	SEMA6C
ENSG00000157014	TATDN2
ENSG00000174348	PODN
ENSG00000175782	SLC35E3
ENSG00000163297	ANTXR2
ENSG00000119878	CRIPT
ENSG00000204099	NEU4
ENSG00000187742	SECISBP2
ENSG00000181472	ZBTB2
ENSG00000123064	DDX54
ENSG00000115421	PAPOLG
ENSG00000159685	CHCHD6
ENSG00000130559	CAMSAP1
ENSG00000196091	MYBPC1
ENSG00000129990	SYT5
ENSG00000139629	GALNT6
ENSG00000184221	OLIG1
ENSG00000182793	GSTA5
ENSG00000198203	SULT1C2
ENSG00000178403	NEUROG2
ENSG00000087460	GNAS
ENSG00000048707	VPS13D
ENSG00000236949	ZNRD1
ENSG00000167968	DNASE1L2
ENSG00000169871	TRIM56
ENSG00000118432	CNR1
ENSG00000170619	COMMD5
ENSG00000137573	SULF1
ENSG00000150990	DHX37
ENSG00000172733	PURG
ENSG00000159885	ZNF222
ENSG00000171817	ZNF540
ENSG00000178015	GPR150
ENSG00000196098	OR5K4
ENSG00000114520	SNX4
ENSG00000110693	SOX6
ENSG00000116903	EXOC8
ENSG00000115234	SNX17
ENSG00000277789	TMC4
ENSG00000204104	TRAF3IP1
ENSG00000112335	SNX3
ENSG00000088930	XRN2
ENSG00000274504	RDH13
ENSG00000171310	CHST11
ENSG00000160753	RUSC1
ENSG00000179085	DPM3
ENSG00000163357	DCST1
ENSG00000023909	GCLM
ENSG00000163661	PTX3
ENSG00000188050	RNF133
ENSG00000138271	GPR87
ENSG00000085514	PILRA
ENSG00000147119	CHST7
ENSG00000103485	QPRT
ENSG00000169488	OR4K15
ENSG00000169789	PRY
ENSG00000096093	EFHC1
ENSG00000131143	COX4I1
ENSG00000253537	PCDHGA7
ENSG00000261934	PCDHGA9
ENSG00000254221	PCDHGB1
ENSG00000182687	GALR2
ENSG00000167701	GPT
ENSG00000254245	PCDHGA3
ENSG00000185666	SYN3
ENSG00000116704	SLC35D1
ENSG00000132840	BHMT2
ENSG00000161800	RACGAP1
ENSG00000110801	PSMD9
ENSG00000080845	DLGAP4
ENSG00000115350	POLE4
ENSG00000164530	PI16
ENSG00000243056	EIF4EBP3
ENSG00000140694	PARN
ENSG00000140450	ARRDC4
ENSG00000132600	PRMT7
ENSG00000172725	CORO1B
ENSG00000112394	SLC16A10
ENSG00000055957	ITIH1
ENSG00000182070	OR52A1
ENSG00000182854	OR4F15
ENSG00000116667	C1orf21
ENSG00000126251	GPR42
ENSG00000251247	ZNF345
ENSG00000132330	SCLY
ENSG00000103534	TMC5
ENSG00000188994	ZNF292
ENSG00000276154	KIR2DS4
ENSG00000256453	DND1
ENSG00000169902	TPST1
ENSG00000275731	KIR2DS4
ENSG00000106560	GIMAP2
ENSG00000133226	SRRM1
ENSG00000163898	LIPH
ENSG00000244025	KRTAP19-3
ENSG00000008300	CELSR3
ENSG00000177807	KCNJ10
ENSG00000162989	KCNJ3
ENSG00000162728	KCNJ9
ENSG00000064989	CALCRL
ENSG00000197013	ZNF429
ENSG00000100612	DHRS7
ENSG00000135406	PRPH
ENSG00000162729	IGSF8
ENSG00000162695	SLC30A7
ENSG00000124067	SLC12A4
ENSG00000143324	XPR1
ENSG00000185247	MAGEA11
ENSG00000166887	VPS39
ENSG00000236177	HLA-DPA1
ENSG00000135097	MSI1
ENSG00000089163	SIRT4
ENSG00000243215	HLA-DMA
ENSG00000089157	RPLP0
ENSG00000158623	COPG2
ENSG00000157216	SSBP3
ENSG00000174842	GLMN
ENSG00000223639	CLIC1
ENSG00000155269	GPR78
ENSG00000235302	LY6G6D
ENSG00000196734	LCE1B
ENSG00000153179	RASSF3
ENSG00000101441	CST4
ENSG00000120802	TMPO
ENSG00000228049	POLR2J2
ENSG00000155890	TRIM42
ENSG00000172404	DNAJB7
ENSG00000130226	DPP6
ENSG00000140835	CHST4
ENSG00000111142	METAP2
ENSG00000157429	ZNF19
ENSG00000145246	ATP10D
ENSG00000162654	GBP4
ENSG00000176945	MUC20
ENSG00000130768	SMPDL3B
ENSG00000164144	ARFIP1
ENSG00000169989	TIGD4
ENSG00000134644	PUM1
ENSG00000131037	EPS8L1
ENSG00000185008	ROBO2
ENSG00000197273	GUCA2A
ENSG00000281630	MUC20
ENSG00000160439	RDH13
ENSG00000110057	UNC93B1
ENSG00000076356	PLXNA2
ENSG00000162511	LAPTM5
ENSG00000234514	LST1
ENSG00000129055	ANAPC13
ENSG00000169019	COMMD8
ENSG00000079739	PGM1
ENSG00000205097	FRG2
ENSG00000170430	MGMT
ENSG00000185499	MUC1
ENSG00000128185	DGCR6L
ENSG00000224242	BTNL2
ENSG00000187170	LCE4A
ENSG00000244057	LCE3C
ENSG00000114867	EIF4G1
ENSG00000204542	C6orf15
ENSG00000198765	SYCP1
ENSG00000118298	CA14
ENSG00000173638	SLC19A1
ENSG00000062716	VMP1
ENSG00000172578	KLHL6
ENSG00000116157	GPX7
ENSG00000170310	STX8
ENSG00000111237	VPS29
ENSG00000164638	SLC29A4
ENSG00000138639	ARHGAP24
ENSG00000144891	AGTR1
ENSG00000128534	LSM8
ENSG00000171295	ZNF440
ENSG00000196576	PLXNB2
ENSG00000142227	EMP3
ENSG00000134744	ZCCHC11
ENSG00000176597	B3GNT5
ENSG00000100697	DICER1
ENSG00000101236	RNF24
ENSG00000134255	CEPT1
ENSG00000066185	ZMYND12
ENSG00000154451	GBP5
ENSG00000203811	HIST2H3C
ENSG00000184260	HIST2H2AC
ENSG00000184270	HIST2H2AB
ENSG00000138385	SSB
ENSG00000159164	SV2A
ENSG00000239285	LY6G5B
ENSG00000078081	LAMP3
ENSG00000203733	GJE1
ENSG00000227357	HLA-DRB4
ENSG00000235925	LY6G6C
ENSG00000241794	SPRR2A
ENSG00000159455	LCE2B
ENSG00000042317	SPATA7
ENSG00000116882	HAO2
ENSG00000143006	DMRTB1
ENSG00000171291	ZNF439
ENSG00000122490	PQLC1
ENSG00000151164	RAD9B
ENSG00000177599	ZNF491
ENSG00000197044	ZNF441
ENSG00000033627	ATP6V0A1
ENSG00000250565	ATP6V1E2
ENSG00000133116	KL
ENSG00000082497	SERTAD4
ENSG00000137700	SLC37A4
ENSG00000206466	GABBR1
ENSG00000117009	KMO
ENSG00000274036	KIR3DL1
ENSG00000136848	DAB2IP
ENSG00000186866	POFUT2
ENSG00000134201	GSTM5
ENSG00000089169	RPH3A
ENSG00000139697	SBNO1
ENSG00000165804	ZNF219
ENSG00000049239	H6PD
ENSG00000172137	CALB2
ENSG00000139514	SLC7A1
ENSG00000155363	MOV10
ENSG00000169208	OR10G3
ENSG00000172061	LRRC15
ENSG00000177464	GPR4
ENSG00000183439	TRIM61
ENSG00000114544	SLC41A3
ENSG00000124222	STX16
ENSG00000135750	KCNK1
ENSG00000167785	ZNF558
ENSG00000230791	LST1
ENSG00000155974	GRIP1
ENSG00000169260	ZNF311
ENSG00000116991	SIPA1L2
ENSG00000112461	OR5V1
ENSG00000086991	NOX4
ENSG00000198440	ZNF583
ENSG00000204392	LSM2
ENSG00000100916	BRMS1L
ENSG00000119013	NDUFB3
ENSG00000147684	NDUFB9
ENSG00000084463	WBP11
ENSG00000173226	IQCB1
ENSG00000198863	RUNDC1
ENSG00000007001	UPP2
ENSG00000131015	ULBP2
ENSG00000150054	MPP7
ENSG00000223465	LST1
ENSG00000163485	ADORA1
ENSG00000124159	MATN4
ENSG00000184033	CTAG1B
ENSG00000160781	PAQR6
ENSG00000213186	TRIM59
ENSG00000168412	MTNR1A
ENSG00000099940	SNAP29
ENSG00000198355	PIM3
ENSG00000127328	RAB3IP
ENSG00000117519	CNN3
ENSG00000100425	BRD1
ENSG00000075188	NUP37
ENSG00000229381	TRIM10
ENSG00000131966	ACTR10
ENSG00000121716	PILRB
ENSG00000116221	MRPL37
ENSG00000282291	SLC39A11
ENSG00000164120	HPGD
ENSG00000226187	LY6G6E
ENSG00000211452	DIO1
ENSG00000139350	NEDD1
ENSG00000184954	OR6C70
ENSG00000179695	OR6C2
ENSG00000227472	TRIM10
ENSG00000141367	CLTC
ENSG00000177879	AP3S1
ENSG00000184351	KRTAP19-1
ENSG00000118620	ZNF430
ENSG00000112195	TREML2
ENSG00000085449	WDFY1
ENSG00000170561	IRX2
ENSG00000099991	CABIN1
ENSG00000241713	LY6G5B
ENSG00000228867	NRM
ENSG00000131142	CCL25
ENSG00000162782	TDRD5
ENSG00000255223	OR5M11
ENSG00000197165	SULT1A2
ENSG00000158480	SPATA2
ENSG00000180957	PITPNB
ENSG00000139970	RTN1
ENSG00000104980	TIMM44
ENSG00000206291	HLA-DPA1
ENSG00000228712	HSD17B8
ENSG00000137575	SDCBP
ENSG00000175482	POLD4
ENSG00000184792	OSBP2
ENSG00000187612	OR5W2
ENSG00000205030	OR5L2
ENSG00000133460	SLC2A11
ENSG00000076944	STXBP2
ENSG00000174339	OR2Y1
ENSG00000180855	ZNF443
ENSG00000177098	SCN4B
ENSG00000167608	TMC4
ENSG00000130433	CACNG6
ENSG00000112308	C6orf62
ENSG00000106258	CYP3A5
ENSG00000124003	MOGAT1
ENSG00000175691	ZNF77
ENSG00000142408	CACNG8
ENSG00000104611	SH2D4A
ENSG00000180155	LYNX1
ENSG00000049245	VAMP3
ENSG00000276423	KIR3DL1
ENSG00000020129	NCDN
ENSG00000230034	PSMB8
ENSG00000147869	CER1
ENSG00000179761	PIPOX
ENSG00000125844	RRBP1
ENSG00000144026	ZNF514
ENSG00000171004	HS6ST2
ENSG00000181031	RPH3AL
ENSG00000148680	HTR7
ENSG00000124089	MC3R
ENSG00000179059	ZFP42
ENSG00000136011	STAB2
ENSG00000163352	LENEP
ENSG00000198812	LRRC10
ENSG00000235905	TRIM15
ENSG00000182973	CNOT10
ENSG00000166086	JAM3
ENSG00000128510	CPA4
ENSG00000225312	HSD17B8
ENSG00000172238	ATOH1
ENSG00000168806	LCMT2
ENSG00000204538	PSORS1C2
ENSG00000159495	TGM7
ENSG00000186792	HYAL3
ENSG00000197093	GAL3ST4
ENSG00000135441	BLOC1S1
ENSG00000161013	MGAT4B
ENSG00000140030	GPR65
ENSG00000070601	FRMPD1
ENSG00000144230	GPR17
ENSG00000184897	H1FX
ENSG00000163380	LMOD3
ENSG00000102189	EEA1
ENSG00000173702	MUC13
ENSG00000163209	SPRR3
ENSG00000006047	YBX2
ENSG00000049283	EPN3
ENSG00000142700	DMRTA2
ENSG00000116874	WARS2
ENSG00000004866	ST7
ENSG00000114744	COMMD2
ENSG00000196937	FAM3C
ENSG00000143442	POGZ
ENSG00000173218	VANGL1
ENSG00000134200	TSHB
ENSG00000071189	SNX13
ENSG00000235960	TRIM15
ENSG00000179097	HTR1F
ENSG00000109576	AADAT
ENSG00000114656	KIAA1257
ENSG00000065371	ROPN1
ENSG00000163157	TMOD4
ENSG00000197706	OR6C74
ENSG00000179919	OR10A7
ENSG00000005075	POLR2J
ENSG00000107371	EXOSC3
ENSG00000145113	MUC4
ENSG00000086300	SNX10
ENSG00000135094	SDS
ENSG00000114349	GNAT1
ENSG00000185070	FLRT2
ENSG00000151532	VTI1A
ENSG00000130338	TULP4
ENSG00000177613	CSTF2T
ENSG00000143032	BARHL2
ENSG00000182177	ASB18
ENSG00000125815	CST8
ENSG00000106541	AGR2
ENSG00000143469	SYT14
ENSG00000087008	ACOX3
ENSG00000151617	EDNRA
ENSG00000111364	DDX55
ENSG00000139572	GPR84
ENSG00000169087	HSPBAP1
ENSG00000050438	SLC4A8
ENSG00000185896	LAMP1
ENSG00000144730	IL17RD
ENSG00000165799	RNASE7
ENSG00000106367	AP1S1
ENSG00000100302	RASD2
ENSG00000167799	NUDT8
ENSG00000078814	MYH7B
ENSG00000197721	CR1L
ENSG00000100991	TRPC4AP
ENSG00000165821	SALL2
ENSG00000172053	QARS
ENSG00000177025	C19orf18
ENSG00000168843	FSTL5
ENSG00000134533	RERG
ENSG00000128191	DGCR8
ENSG00000166192	SENP8
ENSG00000128253	RFPL2
ENSG00000220205	VAMP2
ENSG00000151366	NDUFC2
ENSG00000151364	KCTD14
ENSG00000013364	MVP
ENSG00000204161	C10orf128
ENSG00000142669	SH3BGRL3
ENSG00000106128	GHRHR
ENSG00000257232	DPCR1
ENSG00000100191	SLC5A4
ENSG00000154328	NEIL2
ENSG00000118596	SLC16A7
ENSG00000120756	PLS1
ENSG00000206516	OR2H1
ENSG00000104635	SLC39A14
ENSG00000206515	MAS1L
ENSG00000110079	MS4A4A
ENSG00000277594	DDX52
ENSG00000224105	C6orf15
ENSG00000182670	TTC3
ENSG00000132780	NASP
ENSG00000142002	DPP9
ENSG00000154143	PANX3
ENSG00000197261	C6orf141
ENSG00000178234	GALNT11
ENSG00000197786	OR5B17
ENSG00000172769	OR5B3
ENSG00000172365	OR5B2
ENSG00000229685	HLA-DPA1
ENSG00000229432	C6orf15
ENSG00000166926	MS4A6E
ENSG00000224544	PSORS1C2
ENSG00000227246	PSORS1C2
ENSG00000235487	PSORS1C1
ENSG00000233734	PSORS1C1
ENSG00000278839	SERF1B
ENSG00000211448	DIO2
ENSG00000162891	IL20
ENSG00000128567	PODXL
ENSG00000182346	DAOA
ENSG00000016391	CHDH
ENSG00000228515	MAS1L
ENSG00000178105	DDX10
ENSG00000174953	DHX36
ENSG00000186141	POLR3C
ENSG00000096092	TMEM14A
ENSG00000164756	SLC30A8
ENSG00000145794	MEGF10
ENSG00000240403	KIR3DL2
ENSG00000128276	RFPL3
ENSG00000166411	IDH3A
ENSG00000253958	CLDN23
ENSG00000177354	C10orf71
ENSG00000164128	NPY1R
ENSG00000171763	SPATA5L1
ENSG00000078549	ADCYAP1R1
ENSG00000164129	NPY5R
ENSG00000125753	VASP
ENSG00000138193	PLCE1
ENSG00000106524	ANKMY2
ENSG00000110700	RPS13
ENSG00000188612	SUMO2
ENSG00000164163	ABCE1
ENSG00000121440	PDZRN3
ENSG00000197381	ADARB1
ENSG00000130803	ZNF317
ENSG00000173933	RBM4
ENSG00000153904	DDAH1
ENSG00000198055	GRK6
ENSG00000145425	RPS3A
ENSG00000165409	TSHR
ENSG00000163710	PCOLCE2
ENSG00000154144	TBRG1
ENSG00000239306	RBM14
ENSG00000186451	SPATA12
ENSG00000170054	SERPINA9
ENSG00000102309	PIN4
ENSG00000123843	C4BPB
ENSG00000106554	CHCHD3
ENSG00000108523	RNF167
ENSG00000188582	PAQR9
ENSG00000064419	TNPO3
ENSG00000265972	TXNIP
ENSG00000172403	SYNPO2
ENSG00000263002	ZNF234
ENSG00000168243	GNG4
ENSG00000165355	FBXO33
ENSG00000025772	TOMM34
ENSG00000186354	C9orf47
ENSG00000123838	C4BPA
ENSG00000197363	ZNF517
ENSG00000256870	SLC5A8
ENSG00000168509	HFE2
ENSG00000167889	MGAT5B
ENSG00000164303	ENPP6
ENSG00000110375	UPK2
ENSG00000163958	ZDHHC19
ENSG00000186174	BCL9L
ENSG00000111371	SLC38A1
ENSG00000186660	ZFP91
ENSG00000172399	MYOZ2
ENSG00000152454	ZNF256
ENSG00000232308	DPCR1
ENSG00000170522	ELOVL6
ENSG00000165819	METTL3
ENSG00000198569	SLC34A3
ENSG00000186007	LEMD1
ENSG00000075089	ACTR6
ENSG00000275568	ARHGAP11A
ENSG00000157837	SPPL3
ENSG00000169062	UPF3A
ENSG00000160710	ADAR
ENSG00000235631	RNF148
ENSG00000143543	JTB
ENSG00000177551	NHLH2
ENSG00000226463	OR2W1
ENSG00000077616	NAALAD2
ENSG00000163156	SCNM1
ENSG00000117395	EBNA1BP2
ENSG00000144290	SLC4A10
ENSG00000150938	CRIM1
ENSG00000123307	NEUROD4
ENSG00000182809	CRIP2
ENSG00000203623	C6orf47
ENSG00000117226	GBP3
ENSG00000140519	RHCG
ENSG00000176302	FOXR1
ENSG00000085982	USP40
ENSG00000261236	BOP1
ENSG00000170873	MTSS1
ENSG00000275262	KIR3DL2
ENSG00000167792	NDUFV1
ENSG00000029725	RABEP1
ENSG00000157045	NTAN1
ENSG00000188869	TMC3
ENSG00000107669	ATE1
ENSG00000123353	ORMDL2
ENSG00000177548	RABEP2
ENSG00000178935	ZNF552
ENSG00000146555	SDK1
ENSG00000083828	ZNF586
ENSG00000131773	KHDRBS3
ENSG00000138757	G3BP2
ENSG00000119283	TRIM67
ENSG00000105507	CABP5
ENSG00000171236	LRG1
ENSG00000134897	BIVM
ENSG00000128590	DNAJB9
ENSG00000065427	KARS
ENSG00000213588	ZBTB9
ENSG00000181072	CHRM2
ENSG00000162714	ZNF496
ENSG00000092051	JPH4
ENSG00000167971	CASKIN1
ENSG00000250364	OR12D3
ENSG00000135702	CHST5
ENSG00000135226	UGT2B28
ENSG00000163041	H3F3A
ENSG00000175785	PRIMA1
ENSG00000235915	LST1
ENSG00000162105	SHANK2
ENSG00000156976	EIF4A2
ENSG00000136045	PWP1
ENSG00000151136	BTBD11
ENSG00000100150	DEPDC5
ENSG00000187581	COX8C
ENSG00000162745	OLFML2B
ENSG00000160072	ATAD3B
ENSG00000102317	RBM3
ENSG00000225989	ABCF1
ENSG00000001630	CYP51A1
ENSG00000274948	KIR3DL1
ENSG00000127074	RGS13
ENSG00000242875	RBMY1B
ENSG00000123329	ARHGAP9
ENSG00000083223	ZCCHC6
ENSG00000168925	CTRB1
ENSG00000163827	LRRC2
ENSG00000145476	CYP4V2
ENSG00000079257	LXN
ENSG00000135045	C9orf40
ENSG00000169313	P2RY12
ENSG00000152580	IGSF10
ENSG00000274273	ATP9B
ENSG00000206445	ATP6V1G2
ENSG00000125166	GOT2
ENSG00000249853	HS3ST5
ENSG00000100739	BDKRB1
ENSG00000159147	DONSON
ENSG00000206394	CLIC1
ENSG00000128165	ADM2
ENSG00000243009	RPP21
ENSG00000143376	SNX27
ENSG00000143061	IGSF3
ENSG00000122432	SPATA1
ENSG00000227277	RNF5
ENSG00000117151	CTBS
ENSG00000204540	PSORS1C1
ENSG00000145375	SPATA5
ENSG00000236808	ZNRD1
ENSG00000143375	CGN
ENSG00000151790	TDO2
ENSG00000090612	ZNF268
ENSG00000170852	KBTBD2
ENSG00000105438	KDELR1
ENSG00000175352	NRIP3
ENSG00000168631	DPCR1
ENSG00000196387	ZNF140
ENSG00000105467	SYNGR4
ENSG00000198826	ARHGAP11A
ENSG00000129422	MTUS1
ENSG00000139436	GIT2
ENSG00000171243	SOSTDC1
ENSG00000232984	OR2H1
ENSG00000120278	PLEKHG1
ENSG00000125089	SH3TC1
ENSG00000132622	HSPA12B
ENSG00000125458	NT5C
ENSG00000267680	ZNF224
ENSG00000227446	OR12D2
ENSG00000242022	OR12D3
ENSG00000206380	C6orf48
ENSG00000117016	RIMS3
ENSG00000215440	NPEPL1
ENSG00000198049	AVPR1B
ENSG00000106018	VIPR2
ENSG00000128159	TUBGCP6
ENSG00000139433	GLTP
ENSG00000037749	MFAP3
ENSG00000166224	SGPL1
ENSG00000275183	LENG9
ENSG00000159674	SPON2
ENSG00000137860	SLC28A2
ENSG00000204387	C6orf48
ENSG00000005001	PRSS22
ENSG00000197125	OR8B8
ENSG00000133065	SLC41A1
ENSG00000177300	CLDN22
ENSG00000169174	PCSK9
ENSG00000148288	GBGT1
ENSG00000206525	OR2W1
ENSG00000250361	GYPB
ENSG00000180479	ZNF571
ENSG00000116337	AMPD2
ENSG00000180245	RRH
ENSG00000197938	OR5H2
ENSG00000163406	SLC15A2
ENSG00000065802	ASB1
ENSG00000196437	ZNF569
ENSG00000173409	ARV1
ENSG00000173889	PHC3
ENSG00000187175	KRTAP12-1
ENSG00000172260	NEGR1
ENSG00000139289	PHLDA1
ENSG00000009830	POMT2
ENSG00000164309	CMYA5
ENSG00000155621	C9orf85
ENSG00000225452	RNF5
ENSG00000105643	ARRDC2
ENSG00000159346	ADIPOR1
ENSG00000100888	CHD8
ENSG00000116095	PLEKHA3
ENSG00000092009	CMA1
ENSG00000152683	SLC30A6
ENSG00000111639	MRPL51
ENSG00000153790	C7orf31
ENSG00000162910	MRPL55
ENSG00000206310	C6orf10
ENSG00000196539	OR2T3
ENSG00000072134	EPN2
ENSG00000115392	FANCL
ENSG00000117408	IPO13
ENSG00000224740	FLOT1
ENSG00000092531	SNAP23
ENSG00000226710	C6orf48
ENSG00000279301	OR2T11
ENSG00000165762	OR4K2
ENSG00000169126	ARMC4
ENSG00000276826	RDH13
ENSG00000132718	SYT11
ENSG00000260596	DUX4
ENSG00000213265	TSGA13
ENSG00000139574	NPFF
ENSG00000139971	C14orf37
ENSG00000067208	EVI5
ENSG00000163882	POLR2H
ENSG00000124155	PIGT
ENSG00000188643	S100A16
ENSG00000159527	PGLYRP3
ENSG00000106153	CHCHD2
ENSG00000145248	SLC10A4
ENSG00000143436	MRPL9
ENSG00000075415	SLC25A3
ENSG00000092607	TBX15
ENSG00000070961	ATP2B1
ENSG00000075275	CELSR1
ENSG00000196505	GDAP2
ENSG00000134253	TRIM45
ENSG00000232839	TRIM39
ENSG00000134247	PTGFRN
ENSG00000257594	GALNT4
ENSG00000066322	ELOVL1
ENSG00000274232	KIR2DL4
ENSG00000163703	CRELD1
ENSG00000153936	HS2ST1
ENSG00000178104	PDE4DIP
ENSG00000111911	HINT3
ENSG00000182901	RGS7
ENSG00000196104	SPOCK3
ENSG00000119231	SENP5
ENSG00000163803	PLB1
ENSG00000016602	CLCA4
ENSG00000100596	SPTLC2
ENSG00000117758	STX12
ENSG00000109265	KIAA1211
ENSG00000166265	CYYR1
ENSG00000131778	CHD1L
ENSG00000104974	LILRA1
ENSG00000180758	GPR157
ENSG00000196981	WDR5B
ENSG00000153898	MCOLN2
ENSG00000152592	DMP1
ENSG00000234289	H2BFS
ENSG00000136521	NDUFB5
ENSG00000172850	LSM2
ENSG00000188782	CATSPER4
ENSG00000138246	DNAJC13
ENSG00000124249	KCNK15
ENSG00000095787	WAC
ENSG00000162951	LRRTM1
ENSG00000021645	NRXN3
ENSG00000125744	RTN2
ENSG00000163531	NFASC
ENSG00000152910	CNTNAP4
ENSG00000232251	DPCR1
ENSG00000258289	CHURC1
ENSG00000177614	PGBD5
ENSG00000182004	SNRPE
ENSG00000206298	PSMB8
ENSG00000130787	HIP1R
ENSG00000140153	WDR20
ENSG00000165943	MOAP1
ENSG00000234920	ATP6V1G2
