Ensembl_Id,Domains
ENSG00000007376,PF00849
ENSG00000007384,PF01694|PF12595
ENSG00000007392,PF03194
ENSG00000007402,PF00092|PF08399|PF08473
ENSG00000007516,PF00168|PF10540
ENSG00000007520,PF04034|PF04068
ENSG00000007541,PF05024
ENSG00000007545,
ENSG00000007866,PF01285
ENSG00000007908,PF00008|PF00059|PF00084
ENSG00000007923,PF00226|PF11875
ENSG00000007933,PF00743
ENSG00000007944,PF00373|PF09379|PF09380|PF13920
ENSG00000007952,PF01794|PF08022|PF08030
ENSG00000007968,PF02319|PF16421
ENSG00000008018,PF00227
ENSG00000008056,PF02078|PF02750|PF10581
ENSG00000008083,PF01388|PF02373|PF02375|PF02928
ENSG00000008086,PF00069
ENSG00000008118,PF00069
ENSG00000008128,PF00069
ENSG00000008130,PF01513
ENSG00000008196,PF03299
ENSG00000008197,PF03299
ENSG00000008226,
ENSG00000008256,PF00169|PF01369
ENSG00000008277,PF00200|PF01421|PF01562|PF07974|PF08516
ENSG00000008282,PF01284
ENSG00000008283,PF03188
ENSG00000008294,PF09744|PF16471
ENSG00000008300,PF00002|PF00008|PF00028|PF00053|PF01825|PF02210|PF16489
ENSG00000008311,PF01262|PF03435|PF05222|PF16653
ENSG00000008323,PF00621
ENSG00000008324,PF05030
ENSG00000008382,PF01398|PF14464
ENSG00000008394,PF01124
ENSG00000008405,PF00875|PF03441
ENSG00000008438,PF01510
ENSG00000008441,PF00859|PF03165|PF10524
ENSG00000008513,PF00777
ENSG00000008516,PF00045|PF00413|PF01471
ENSG00000008517,PF15225
ENSG00000008710,PF00059|PF00801|PF01477|PF01822|PF02010|PF08016|PF13855
ENSG00000008735,PF00640|PF14604
ENSG00000008838,PF11277
ENSG00000008853,PF00071|PF00651
ENSG00000008869,
ENSG00000008952,PF03839
ENSG00000008988,PF00338
ENSG00000009307,PF00313|PF12901
ENSG00000009335,PF00632
ENSG00000009413,PF00136|PF03104|PF08333|PF14260|PF15735
ENSG00000009694,PF06484|PF15636
ENSG00000009709,PF00046|PF00292|PF12360
ENSG00000009724,PF00084|PF00089|PF00431|PF07645
ENSG00000009765,PF00881
ENSG00000009780,PF16046
ENSG00000009790,
ENSG00000009830,PF02366|PF02815|PF16192
ENSG00000009844,PF04652
ENSG00000009950,PF00010
ENSG00000009954,PF00439|PF00628|PF10537|PF15612|PF15613
ENSG00000010017,PF00622|PF08513|PF10607
ENSG00000010030,PF00178|PF02198
ENSG00000010072,PF10263
ENSG00000010165,PF01564|PF08241
ENSG00000010219,PF00069
ENSG00000010244,
ENSG00000010256,PF00675|PF05193
ENSG00000010270,PF10457
ENSG00000010278,PF00335
ENSG00000010282,PF03062
ENSG00000010292,PF12717|PF12922
ENSG00000010295,
ENSG00000010310,PF00002|PF02793
ENSG00000010318,PF13771
ENSG00000010319,PF00047|PF01403
ENSG00000010322,PF00787
ENSG00000010327,PF00193|PF02469|PF12947
ENSG00000010361,
ENSG00000010379,PF00209
ENSG00000010404,PF00884
ENSG00000010438,PF00089
ENSG00000010539,PF00096|PF13912
ENSG00000010610,PF00047|PF05790|PF09191|PF12104
ENSG00000010626,PF12799|PF13516|PF14580
ENSG00000010671,PF00017|PF00018|PF00169|PF00779|PF07714
ENSG00000010704,PF00129|PF07654
ENSG00000010803,PF00536|PF02820|PF12140|PF17208
ENSG00000010810,PF00017|PF00018|PF07714
ENSG00000010818,
ENSG00000010932,PF00743|PF13450
ENSG00000011007,PF06881|PF08711
ENSG00000011009,PF02230
ENSG00000011021,PF00571|PF00654
ENSG00000011028,PF00040|PF00059
ENSG00000011052,PF00334
ENSG00000011083,PF00209
ENSG00000011105,PF00335
ENSG00000011114,PF00651|PF07707
ENSG00000011132,PF00595|PF00640
ENSG00000011143,PF07162
ENSG00000011198,PF00561
ENSG00000011201,PF00041|PF00095
ENSG00000011243,PF04988
ENSG00000011258,PF02820
ENSG00000011260,PF00400
ENSG00000011275,
ENSG00000011295,PF13374|PF13424
ENSG00000011304,PF00076|PF13893
ENSG00000011332,PF00628|PF14051
ENSG00000011347,PF00168
ENSG00000011376,PF00133|PF08264
ENSG00000011405,PF00168|PF00454|PF00613|PF00787|PF00792|PF00794
ENSG00000011422,PF00021
ENSG00000011426,PF00169|PF08174|PF16018
ENSG00000011451,
ENSG00000011454,PF00001|PF00566|PF00640|PF12473
ENSG00000011465,PF01462|PF13855
ENSG00000011478,PF04389
ENSG00000011485,PF00149|PF00515|PF08321
ENSG00000011523,
ENSG00000011566,PF00069|PF00780
ENSG00000011590,PF00651|PF12874
ENSG00000011600,
ENSG00000011638,PF16015
ENSG00000011677,PF02931|PF02932
ENSG00000012048,PF00097|PF00533|PF12820|PF13445|PF15227
ENSG00000012061,PF00633|PF03834|PF14520
ENSG00000012124,PF07686|PF08205|PF13895|PF13927
ENSG00000012171,PF00047|PF01403
ENSG00000012174,PF02163
ENSG00000012211,PF00412|PF06297
ENSG00000012223,PF00405
ENSG00000012232,PF03016|PF09258
ENSG00000012504,PF00104|PF00105
ENSG00000012660,PF01151
ENSG00000012779,PF00305|PF01477
ENSG00000012817,PF00628|PF01388|PF02373|PF02375|PF02928|PF08429
ENSG00000012822,PF07888
ENSG00000012963,PF02207
ENSG00000012983,PF00069|PF00780
ENSG00000013016,PF00350|PF12763|PF16880
ENSG00000013275,PF00004
ENSG00000013288,PF01074|PF07748|PF09261
ENSG00000013293,PF13520|PF13906
ENSG00000013297,PF00822
ENSG00000013306,PF00153
ENSG00000013364,PF01505|PF11978
ENSG00000013374,PF00627
ENSG00000013375,PF00408|PF02878
ENSG00000013392,PF05773|PF06544
ENSG00000013441,PF00069
ENSG00000013503,PF00562|PF04560|PF04561|PF04563|PF04565|PF04566|PF04567
ENSG00000013523,PF03372
ENSG00000013561,PF01485|PF05773
ENSG00000013563,PF03372
ENSG00000013573,PF06733|PF13307
ENSG00000013583,PF04832
ENSG00000013588,PF00003
ENSG00000013619,
ENSG00000013725,PF00530
ENSG00000013810,PF05010
ENSG00000014123,PF09743
ENSG00000014138,PF04042|PF08418
ENSG00000014164,PF00642
ENSG00000014216,PF00648|PF01067|PF13833
ENSG00000014257,PF00328
ENSG00000014641,PF00056|PF02866
ENSG00000014824,PF01545
ENSG00000014914,PF06602|PF12578
ENSG00000014919,PF02628
ENSG00000015133,PF05622
ENSG00000015153,PF00641|PF17219
ENSG00000015171,PF00439|PF00855
ENSG00000015285,PF00568|PF00786|PF02205
ENSG00000015413,PF01244
ENSG00000015475,PF06393
ENSG00000015479,PF13893
ENSG00000015520,PF02460|PF12349|PF16414
ENSG00000015532,PF02485|PF12529
ENSG00000015568,PF00515|PF00638|PF01465|PF07719|PF16704
ENSG00000015592,PF00836
ENSG00000015676,PF04969|PF14050
ENSG00000016082,PF00046|PF00412
ENSG00000016391,PF00732|PF05199
ENSG00000016402,PF01108|PF09294
ENSG00000016490,PF08434|PF13519
ENSG00000016602,PF00092|PF08434
ENSG00000016864,PF01501
ENSG00000017260,PF00122|PF00689|PF00690|PF00702|PF13246
ENSG00000017427,PF00049
ENSG00000017483,PF01490
ENSG00000017797,PF00620
ENSG00000018189,PF02759
ENSG00000018236,PF00041|PF07679|PF13927
ENSG00000018280,PF01566
ENSG00000018408,PF00397
ENSG00000018510,PF01565|PF02913
ENSG00000018610,
ENSG00000018625,PF00122|PF00689|PF00690|PF00702|PF13246
ENSG00000018699,PF07719
ENSG00000018869,PF00096|PF01352|PF12874|PF13912
ENSG00000019102,PF07686|PF13927
ENSG00000019144,PF00169
ENSG00000019169,PF00530|PF01391
ENSG00000019186,PF00067
ENSG00000019485,PF00856|PF13873
ENSG00000019505,PF00168
ENSG00000019549,PF00096|PF13894|PF13912
ENSG00000019582,PF00086|PF08831|PF09307
ENSG00000019991,PF00024|PF00051|PF00089
ENSG00000019995,PF00641|PF02338
ENSG00000020129,PF05536
ENSG00000020181,PF00002|PF01825|PF13855
ENSG00000020256,PF12874|PF13909|PF13912
ENSG00000020426,PF06391|PF17121
ENSG00000020577,PF00536
ENSG00000020633,PF00853|PF08504
ENSG00000020922,PF00149|PF04152
ENSG00000021300,PF00169
ENSG00000021355,PF00079
ENSG00000021461,PF00067
ENSG00000021488,PF13520
ENSG00000021574,PF00004|PF09336
ENSG00000021645,PF00008|PF01034|PF02210
ENSG00000021762,PF00169|PF01237
ENSG00000021776,PF13086|PF13087|PF16399
ENSG00000021826,PF00117|PF00988|PF02142|PF02786|PF02787
ENSG00000021852,PF00057|PF00090|PF01823
ENSG00000022267,PF00412
ENSG00000022277,PF04641
ENSG00000022355,PF02931|PF02932
ENSG00000022556,PF02758|PF05729|PF13516
ENSG00000022567,PF13347
ENSG00000022840,PF13639
ENSG00000022976,PF15961
ENSG00000023041,PF01529|PF07653
ENSG00000023171,PF02893|PF16016
ENSG00000023191,PF13516
ENSG00000023228,PF00384|PF09326|PF10588|PF13510
ENSG00000023287,PF10377
ENSG00000023318,PF00085|PF13848
ENSG00000023330,PF00155|PF09029
ENSG00000023445,PF00619|PF00653|PF13920
ENSG00000023516,
ENSG00000023572,PF00462
ENSG00000023608,PF09808
ENSG00000023697,PF01791
ENSG00000023734,PF00400
ENSG00000023839,PF00005|PF00664
ENSG00000023892,PF00169
ENSG00000023902,PF00169
ENSG00000023909,PF00248
ENSG00000024048,PF02207|PF02617
ENSG00000024422,PF00350|PF12763|PF16880
ENSG00000024526,PF00610|PF00620
ENSG00000024862,PF13270
ENSG00000025039,PF04670
ENSG00000025156,PF00447|PF06546
ENSG00000025293,PF02820|PF12618
ENSG00000025423,PF00106
ENSG00000025434,PF00104|PF00105
ENSG00000025708,PF00591|PF02885|PF07831
ENSG00000025770,PF06278|PF16858|PF16869
ENSG00000025772,PF00515
ENSG00000025796,PF00226|PF02889
ENSG00000025800,PF00514|PF01749|PF16186
ENSG00000026025,PF00038|PF04732
ENSG00000026036,PF06733|PF13307
ENSG00000026103,PF00020|PF00531
ENSG00000026297,PF00445
ENSG00000026508,PF00193
ENSG00000026559,PF00520|PF02214
ENSG00000026652,PF01553|PF16076
ENSG00000026751,PF07686
ENSG00000026950,PF00622|PF07686|PF13765
ENSG00000027001,PF01432
ENSG00000027075,PF00069|PF00130|PF00168|PF00433
ENSG00000027644,PF00757|PF01030|PF07714
ENSG00000027697,PF01108|PF07140
ENSG00000027847,PF02709|PF13733
ENSG00000027869,PF00017
ENSG00000028116,PF00069
ENSG00000028137,PF00020
ENSG00000028203,PF12632
ENSG00000028277,PF00046|PF00157
ENSG00000028310,PF00439|PF12024
ENSG00000028528,PF00787|PF03700|PF09325
ENSG00000028839,PF00352
ENSG00000029153,PF00010|PF00989|PF14598
ENSG00000029363,PF09405|PF15440
ENSG00000029364,PF02535
ENSG00000029534,PF00023|PF00531|PF00791|PF12796|PF13606|PF13637
ENSG00000029559,PF05432
ENSG00000029639,PF00398
ENSG00000029725,PF03528|PF09311
ENSG00000029993,PF00505|PF09011
ENSG00000030066,PF11715
ENSG00000030110,PF00452
ENSG00000030304,PF01392|PF07679|PF07714|PF13927
ENSG00000030419,PF00096|PF13894
ENSG00000030582,PF00396
ENSG00000031003,PF00620
ENSG00000031081,PF00620
ENSG00000031691,PF13094
ENSG00000031698,PF00587|PF02403
ENSG00000031823,PF00638
ENSG00000032219,PF01388|PF08169|PF11717
ENSG00000032389,PF00400
ENSG00000032444,PF00027|PF01734
ENSG00000032742,PF00515|PF12895|PF13174|PF13181|PF13424
ENSG00000033011,PF00534
ENSG00000033030,PF00098|PF04046
ENSG00000033050,PF00005|PF12848
ENSG00000033100,PF05679
ENSG00000033122,PF00595|PF13855
ENSG00000033170,PF14604
ENSG00000033178,PF00899|PF09358|PF10585|PF16190|PF16191
ENSG00000033327,PF00169
ENSG00000033627,PF01496
ENSG00000033800,PF02891|PF14324
ENSG00000033867,PF00955|PF07565
ENSG00000034053,PF00595|PF00640
ENSG00000034152,PF00069
ENSG00000034239,PF13499
ENSG00000034510,PF01290
ENSG00000034533,PF00752|PF12813
ENSG00000034677,PF01485
ENSG00000034693,PF04882
ENSG00000034713,PF02991
ENSG00000034971,PF02191
ENSG00000035115,PF00018|PF04366
ENSG00000035141,PF05811
ENSG00000035403,PF01044
ENSG00000035499,PF00610|PF00620
ENSG00000035664,PF00069
ENSG00000035681,PF00400|PF02138|PF02893
ENSG00000035687,PF00709
ENSG00000035720,PF00017|PF00169
ENSG00000035862,PF00965
ENSG00000035928,PF00004|PF00533|PF08519
ENSG00000036054,PF00566|PF00581
ENSG00000036257,PF00888|PF10557
ENSG00000036448,PF00041|PF07679
ENSG00000036473,PF00185|PF02729
ENSG00000036530,PF00067
ENSG00000036549,PF00249|PF00569
ENSG00000036565,PF07690
ENSG00000036672,PF00443
ENSG00000036828,PF00003|PF01094|PF07562
ENSG00000037042,PF00091|PF03953
ENSG00000037241,PF00467|PF16906
ENSG00000037280,PF07679|PF07714|PF13927
ENSG00000037474,PF01189
ENSG00000037637,PF07646|PF12937|PF13415
ENSG00000037749,PF00047
ENSG00000037757,PF01008
ENSG00000037897,PF02390
ENSG00000037965,PF00046
ENSG00000038002,PF01112
ENSG00000038210,PF00454
ENSG00000038219,PF05205
ENSG00000038274,PF04321
ENSG00000038295,PF00431|PF01400|PF07645|PF14670
ENSG00000038358,PF16529
ENSG00000038382,PF00018|PF00069|PF00169|PF00435|PF00621|PF00650|PF07679|PF16609
ENSG00000038427,PF00008|PF00059|PF00084|PF00193|PF07686
ENSG00000038532,PF09758
ENSG00000038945,PF00530|PF01391|PF03523
ENSG00000039068,PF00028|PF01049|PF08758
ENSG00000039123,PF00270|PF00271|PF08148|PF13234
ENSG00000039139,PF03028|PF07728|PF08385|PF08393|PF12774|PF12775|PF12777|PF12780|PF12781
ENSG00000039319,PF01363|PF11979
ENSG00000039523,PF13646|PF15903
ENSG00000039537,PF00057|PF00084|PF00090|PF01823|PF07648
ENSG00000039560,PF00023|PF12796|PF13637|PF13857
ENSG00000039600,PF00505
ENSG00000039650,PF08645|PF13671
ENSG00000039987,PF01062
ENSG00000040199,PF00481|PF12799|PF13516|PF13855
ENSG00000040275,
ENSG00000040341,PF00035|PF16482
ENSG00000040487,PF04193
ENSG00000040531,PF04193
ENSG00000040608,PF13855
ENSG00000040633,PF00628
ENSG00000040731,PF00028|PF01049
ENSG00000040933,
ENSG00000041353,PF00071
ENSG00000041357,PF00227|PF10584
ENSG00000041515,PF00063|PF12796|PF15439
ENSG00000041802,PF01926
ENSG00000041880,PF00644|PF02877|PF05406
ENSG00000041982,PF00041|PF00147|PF07974
ENSG00000041988,PF05485
ENSG00000042062,PF15903
ENSG00000042088,PF06087
ENSG00000042286,PF07992
ENSG00000042304,PF01770
ENSG00000042317,PF15244
ENSG00000042429,PF10156
ENSG00000042445,PF13450
ENSG00000042493,PF00626
ENSG00000042753,PF01217
ENSG00000042781,PF00041|PF00053|PF00055|PF02210|PF13385
ENSG00000042813,PF07354
ENSG00000042832,PF00086|PF00135|PF07699
ENSG00000042980,PF00200|PF01421|PF01562|PF08516
ENSG00000043039,PF00046
ENSG00000043093,PF03556|PF14555
ENSG00000043143,PF10513|PF13831|PF13832
ENSG00000043355,PF00096
ENSG00000043462,PF00017|PF07647
ENSG00000043514,PF01715|PF01745|PF12171
ENSG00000043591,PF00001
ENSG00000044012,PF02058
ENSG00000044090,PF00888|PF03256|PF10557|PF11515
ENSG00000044115,PF01044
ENSG00000044446,PF00723
ENSG00000044459,
ENSG00000044524,PF00041|PF01404|PF07647|PF07699|PF07714|PF14575
ENSG00000044574,PF00012
ENSG00000046604,PF00028
ENSG00000046647,PF15348
ENSG00000046651,PF16045
ENSG00000046653,PF01275
ENSG00000046774,
ENSG00000046889,PF00169|PF00610|PF00621
ENSG00000047056,PF00400
ENSG00000047188,PF00270|PF00271|PF01424|PF04146|PF04408|PF07717
ENSG00000047230,PF00117|PF06418
ENSG00000047249,PF03224|PF11698
ENSG00000047315,PF00562|PF04560|PF04561|PF04563|PF04565|PF04566|PF04567
ENSG00000047346,PF13889|PF13915
ENSG00000047365,PF00169|PF00536|PF00620|PF00788|PF01412
ENSG00000047410,PF07926
ENSG00000047457,PF00394|PF07731|PF07732
ENSG00000047578,PF14652
ENSG00000047579,PF04440
ENSG00000047597,PF09815
ENSG00000047617,PF04547|PF16178
ENSG00000047621,PF10154
ENSG00000047634,PF00536
ENSG00000047644,
ENSG00000047648,PF00620
ENSG00000047662,PF15665
ENSG00000047849,PF00418
ENSG00000047932,PF00595
ENSG00000047936,PF00041|PF07714
ENSG00000048028,PF00443
ENSG00000048052,PF00850|PF12203
ENSG00000048140,PF00335
ENSG00000048162,PF09420
ENSG00000048342,PF00168|PF15625
ENSG00000048392,PF00268
ENSG00000048405,PF12874|PF13894|PF16622|PF16624
ENSG00000048462,PF09257
ENSG00000048471,PF00787|PF02759
ENSG00000048540,PF00412
ENSG00000048544,PF00338
ENSG00000048545,PF00036|PF13499|PF13833
ENSG00000048649,PF00628|PF15612
ENSG00000048707,PF00627|PF06650|PF12624|PF16908|PF16909|PF16910
ENSG00000048740,PF00076
ENSG00000048828,
ENSG00000048991,PF01424|PF12752
ENSG00000049089,PF01391
ENSG00000049130,PF02404
ENSG00000049167,PF00400
ENSG00000049192,PF00090|PF01421|PF01562|PF05986|PF08686
ENSG00000049239,PF00479|PF01182|PF02781
ENSG00000049245,PF00957
ENSG00000049246,PF08447|PF12114
ENSG00000049247,PF02083
ENSG00000049249,PF00020
ENSG00000049283,PF01417|PF02809
ENSG00000049323,PF00683|PF07645|PF12662
ENSG00000049449,PF13202
ENSG00000049540,
ENSG00000049541,PF00004|PF01078|PF08542|PF13177
ENSG00000049618,PF01388|PF12031
ENSG00000049656,PF05602
ENSG00000049759,PF00168|PF00397|PF00632
ENSG00000049768,PF00250|PF16159
ENSG00000049769,PF03370
ENSG00000049860,PF00728|PF14845
ENSG00000049883,PF10037
ENSG00000050030,PF15735
ENSG00000050130,PF05571
ENSG00000050165,PF04706
ENSG00000050327,PF00169|PF00621|PF14604|PF15441
ENSG00000050344,PF03131
ENSG00000050393,PF07798
ENSG00000050405,PF00412
ENSG00000050426,PF07766
ENSG00000050438,PF00955|PF07565
ENSG00000050555,PF00052|PF00053|PF00055
ENSG00000050628,PF00001
ENSG00000050730,PF16516
ENSG00000050748,PF00069
ENSG00000050767,PF01391
ENSG00000050820,PF00018|PF07653|PF08824|PF12026
ENSG00000051009,PF10257
ENSG00000051108,PF00240
ENSG00000051128,PF00568
ENSG00000051180,PF08423|PF14520
ENSG00000051341,PF00270|PF00271|PF00476
ENSG00000051382,PF00454|PF00613|PF00792|PF00794|PF02192
ENSG00000051523,PF05038
ENSG00000051596,PF00400|PF08662|PF12894
ENSG00000051620,PF04832
ENSG00000051825,
ENSG00000052126,PF00169|PF00397
ENSG00000052344,PF00089
ENSG00000052723,PF05769
ENSG00000052749,PF08161
ENSG00000052795,PF14636|PF14637|PF14638
ENSG00000052802,PF04116
ENSG00000052841,PF09295|PF13181
ENSG00000052850,PF00046|PF03826
ENSG00000053108,PF07648|PF13927
ENSG00000053254,PF00250
ENSG00000053328,PF13383
ENSG00000053371,PF00248
ENSG00000053372,PF00466
ENSG00000053438,
ENSG00000053501,PF09753
ENSG00000053524,PF00621|PF13716
ENSG00000053702,PF09668
ENSG00000053747,PF00052|PF00053|PF00055|PF02210|PF06008|PF06009
ENSG00000053770,PF00928
ENSG00000053900,PF12894|PF12896
ENSG00000053918,PF00520|PF03520
ENSG00000054116,PF04051
ENSG00000054118,PF15440
ENSG00000054148,PF05005
ENSG00000054179,PF01150
ENSG00000054219,PF00040|PF00059
ENSG00000054267,PF01388|PF08169|PF11717
ENSG00000054277,PF00001
ENSG00000054282,PF15964
ENSG00000054356,PF00102|PF11548|PF14948
ENSG00000054392,PF03062
ENSG00000054523,PF00169|PF00225|PF00498|PF12423|PF12473|PF16183
ENSG00000054598,PF00250
ENSG00000054611,PF00566
ENSG00000054654,PF00307|PF00435|PF10541
ENSG00000054690,PF00169|PF00373|PF00784
ENSG00000054793,PF00122|PF13246|PF16209|PF16212
ENSG00000054796,PF03533|PF04406
ENSG00000054803,PF00386
ENSG00000054938,PF00093
ENSG00000054965,PF14944
ENSG00000054967,PF12606
ENSG00000054983,PF02057
ENSG00000055044,PF01798|PF08156
ENSG00000055070,PF12752|PF12901
ENSG00000055118,PF00027|PF00520|PF13426
ENSG00000055130,PF00888|PF10557
ENSG00000055147,PF05334
ENSG00000055163,PF05994|PF07159
ENSG00000055208,PF02845
ENSG00000055211,
ENSG00000055332,PF00035|PF00069
ENSG00000055483,PF00443
ENSG00000055609,PF00628|PF00856|PF05964|PF05965|PF13771|PF13832
ENSG00000055732,PF08016
ENSG00000055813,PF10226
ENSG00000055917,PF00806
ENSG00000055950,PF05047
ENSG00000055955,PF00092|PF06668|PF08487
ENSG00000055957,PF00092|PF06668|PF08487
ENSG00000056050,PF10228
ENSG00000056097,PF07528|PF12874
ENSG00000056277,PF13836
ENSG00000056291,PF00001
ENSG00000056487,PF00628
ENSG00000056558,PF16673
ENSG00000056586,PF00642|PF13445
